ROM;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
68529;Head of Military Intelligence;Claudiu Saftoiu;2003;ML;Political Specialist;High;M_ROM_claudiu_saftoiu;x
68530;Head of Military Intelligence;Daniela Buruiana;2003;NS;Political Specialist;High;M_ROM_daniela_buruiana;x
68531;Head of Military Intelligence;Virgil Magureanu;2003;ST;Dismal Enigma;High;M_ROM_virgil_magureanu;x
68532;Chief of Staff;Eugen Badalan;2003;NA;School of Defence;High;M_ROM_badalan_eugen;x
68533;Chief of Staff;Gheorghe Marin;2003;NA;School of Psychology;High;Unknown;x
68534;Chief of Army;Teodor Frunzeti;2004;NA;Guns and Butter Doctrine;High;M_ROM_teodor_frunzeti;x
68535;Chief of Army;Neculai Mihai Bahnareanu;2003;NA;Static Defence Doctrine;High;M_ROM_neculai_mihai_bahnareanu;x
68536;Chief of Navy;Dorin Danila;2004;NA;Indirect Approach Doctrine;High;M_ROM_dorin_danila;x
68537;Chief of Navy;Gheorghe Petria;2003;NA;Indirect Approach Doctrine;High;M_ROM_gheorghe_petria;x
68538;Chief of Air Force;Constantin Croitoru;2004;NA;Air Superiority Doctrine;High;M_ROM_constantin_croitoru;x
68539;Chief of Air Force;Laurentiu Maftei;2003;NA;Vertical Envelopment Doctrine;High;M_ROM_laurenti_maftei;x
68540;Minister of Armament;Sorin Oprescu;2003;SL;Administrative Genius;High;M_ROM_sorin_oprescu;x
68541;Minister of Security;Christian Diaconescu;2003;SL;Silent Lawyer;High;M_ROM_christian_diaconescu;x
68542;Minister of Armament;Codrut Seres;2004;ML;Corrupt Kleptocrat;High;M_ROM_codrut_seres;x
68543;Head of Military Intelligence;Vasile Blaga;2004;NA;Dismal Enigma;High;M_ROM_vasile_blaga;x
68544;Chief of Army;Sorin Ioan;2004;NA;Elastic Defence Doctrine;High;M_ROM_sorin_ioan;x
68545;Chief of Navy;Gheorghe Marin;2003;NA;Decisive Naval Battle Doctrine;High;Unknown;x
68546;Minister of Armament;Ludovic Orban;2004;ML;Laissez Faire Capitalist;High;M_ROM_ludovic_orban;x
68547;Minister of Security;Crin Antonescu;2004;ML;Silent Lawyer;High;M_ROM_crin_antonescu;x
68548;Head of State;Mircea Geoana;2008;SL;Barking Buffon;High;M_ROM_mircea_geoana;x
68549;Foreign Minister;Adrian Nastase;2003;SL;Great Compromiser;High;M_ROM_adrian_nastase;x
68550;Minister of Armament;Dan Ioan Popescu;2003;SC;Corrupt Kleptocrat;High;M_ROM_dan_ioan_popescu;x
68551;Head of Military Intelligence;Ioan Rus;2003;SL;Dismal Enigma;High;M_ROM_ioan_rus;x
68552;Head of Government;Emil Boc;2008;ML;Political Protege;High;M_ROM_emil_boc;x
68553;Foreign Minister;Theodor Stolojan;2003;ML;Great Compromiser;High;M_ROM_theodor_stolojan;x
68554;Minister of Armament;Radu Berceanu;2008;ML;Corrupt Kleptocrat;High;M_ROM_radu_berceanu;x
68555;Minister of Security;Elena Udrea;2008;ML;Crooked Kleptocrat;High;M_ROM_elena_udrea;x
68556;Head of Government;Ludovic Orban;2008;ML;Silent Workhorse;High;M_ROM_ludovic_orban;x
68557;Foreign Minister;Lazar Comanescu;2008;ML;Great Compromiser;High;M_ROM_lazar_comanescu;x
68558;Minister of Armament;Varujan Vosganian;2008;ML;Laissez Faire Capitalist;High;M_ROM_varujan_vosganian;x
68559;Head of Military Intelligence;Teodor Melescanu;2008;ML;Dismal Enigma;High;M_ROM_teodor_melescanu;x
68560;Minister of Armament;Vasile Puscas;2008;SL;Administrative Genius;High;M_ROM_vasile_puscas;x
68561;Foreign Minister;Vasile Puscas;2008;SL;Great Compromiser;High;M_ROM_vasile_puscas;x
68562;Chief of Staff;Dorin Danila;2009;NA;School of Psychology;High;M_ROM_dorin_danila;x
