GER;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
31028;Minister of Security;Ulrich Eigenfeld;2003;FA;Prince of Terror;High;M_GER_ulrich_eigenfeld;x 
31029;Minister of Security;Harald Werner;2003;LWR;Man of the People;High;UNKNOWN;x 
31030;Head of Military Intelligence;Harald Werner;2003;LWR;Industrial Specialist;High;UNKNOWN;x 
31031;Head of Military Intelligence;Ulrich Eigenfeld;2003;FA;Political Specialist;High;M_GER_ulrich_eigenfeld;x 
31032;Head of Military Intelligence;Otto Schilly;2003;SL;Dismal Enigma;High;M_GER_otto_schilly;x 
31033;Head of State;Gesine Schwan;2003;SD;Benevolent Gentleman;High;M_GER_gesine_schwan;x
31034;Head of State;Franz Müntefering;2003;SD;Stern Imperialist;High;M_GER_franz_müntefering;x
31035;Head of State;Wolfgang Thierse;2003;SD;Autocratic Charmer;High;M_GER_wolfgang_thierse;x
31036;Head of Government;Franz Müntefering;2003;SD;Silent Workhorse;High;M_GER_franz_müntefering;x
31037;Head of Government;Peter Struck;2003;SD;Backroom Backstabber;High;M_GER_peter_struck;x
31038;Head of Government;Matthias Platzeck;2003;SD;Ambitious Union Boss;High;M_GER_matthias_platzeck;x
31039;Head of Government;Kurt Beck;2003;SD;Naive Optimist;High;M_GER_kurt_beck;x
31040;Foreign Minister;Frank W. Steinmeier;2003;SD;Great Compromiser;High;M_GER_frank_w_steinmeier;x
31041;Foreign Minister;Martin Schulz;2003;SD;The Cloak N Dagger Schemer;High;M_GER_martin_schulz;x
31042;Foreign Minister;Matthias Platzeck;2003;SD;Biased Intellectual;High;M_GER_matthias_platzeck;x
31043;Minister of Armament;Peter Struck;2003;SD;Administrative Genius;High;M_GER_peter_struck;x
31044;Minister of Armament;Johannes Kahrs;2003;SD;Resource Industrialist;High;M_GER_johannes_kars;x
31045;Minister of Armament;Jörn Thießen;2003;SD;Military Entrepreneur;High;M_GER_jörn_thießen;x
31046;Minister of Security;Sigmar Gabriel;2003;SD;Crime Fighter;High;M_GER_sigmar_gabriel;x
31047;Minister of Security;Hermann Scherr;2003;SD;Back Stabber;High;M_GER_hermann_scherr;x
31048;Minister of Security;Kurt Beck;2003;SD;Silent Lawyer;High;M_GER_kurt_beck;x
31049;Head of Military Intelligence;Ernst Uhrlau;2003;SD;Dismal Enigma;High;M_GER_ernst_uhrlau;x
31050;Head of Military Intelligence;Frank W. Steinmeier;2003;SD;Political Specialist;High;M_GER_frank_w_steinmeier;x
31051;Head of Military Intelligence;Garriel Duin;2003;SD;Technical Specialist;High;M_GER_garriel_duin;x
31052;Chief of Staff;SD – Shadow;2003;SD;UNDISTINGUISHED SUIT;High;UNKNOWN;x
31053;Chief of Staff;SD – Shadow;2003;SD;UNDISTINGUISHED SUIT;High;UNKNOWN;x
31054;Chief of Army;SD – Shadow;2003;SD;UNDISTINGUISHED SUIT;High;UNKNOWN;x
31055;Chief of Army;SD – Shadow;2003;SD;UNDISTINGUISHED SUIT;High;UNKNOWN;x
31056;Chief of Navy;SD – Shadow;2003;SD;UNDISTINGUISHED SUIT;High;UNKNOWN;x
31057;Chief of Navy;SD – Shadow;2003;SD;UNDISTINGUISHED SUIT;High;UNKNOWN;x
31058;Chief of Air Force;SD – Shadow;2003;SD;UNDISTINGUISHED SUIT;High;UNKNOWN;x
31059;Chief of Air Force;SD – Shadow;2003;SD;UNDISTINGUISHED SUIT;High;UNKNOWN;x
31060;Head of State;Wolfgang Schäuble;2003;SC;Benevolent Gentleman;High;UNKNOWN;x
31061;Head of State;Roland Koch;2003;SC;Ruthless Powermonger;High;M_GER_roland_koch;x
31062;Head of State;Norbert Lammer;2003;SC;Barking Buffoon;High;M_GER_norbert_lammer;x
31063;Head of Government;Edmund Stoiber;2003;SC;Naive Optimist;High;M_GER_edmund_stoiber;x
31064;Head of Government;Christian Wulff;2003;SC;Political Protege;High;M_GER_christian_wulff;x
31065;Head of Government;Günther Oettinger;2003;SC;Corporate Suit;High;M_GER_günther_oettinger;x
31066;Foreign Minister;Lothar dé Maziere;2003;SC;Biased Intellectual;High;M_GER_lothar_dé_maziere;x
31067;Foreign Minister;Philipp Mißfelder;2003;SC;Ideological Crusader;High;M_GER_philipp_mißfelder;x
31068;Foreign Minister;Werner Langen;2003;SC;The Cloak N Dagger Schemer;High;M_GER_werner_langen;x
31069;Minister of Armament;Franz Josef Jung;2003;SC;Laissez Faires Capitalist;High;M_GER_franz_josef_jung;x
31070;Minister of Armament;Jürgen Rüttgers;2003;SC;Military Entrepreneur;High;M_GER_jürgen_rüttgers;x
31071;Minister of Armament;Lothar dé Maziere;2003;SC;Resource Industrialist;High;M_GER_lothar_dé_maziere;x
31072;Minister of Security;Wolfgang Schäuble;2003;SC;Prince of Terror;High;UNKNOWN;x
31073;Minister of Security;Ulrich Junghanns;2003;SC;Man of the People;High;M_GER_ulrich_junghanns;x
31074;Minister of Security;Jürgen Rüttgers;2003;SC;Crime Fighter;High;M_GER_jürgen_rüttgers;x
31075;Head of Military Intelligence;Eckert von Klaeden;2003;SC;Industrial Specialist;High;M_GER_eckert_von_klaeden;x
31076;Head of Military Intelligence;Wolfgang Schäuble;2003;SC;Political Specialist;High;UNKNOWN;x
31077;Chief of Staff;SC – Shadow;2003;SC;UNDISTINGUISHED SUIT;High;UNKNOWN;x
31078;Chief of Staff;SC – Shadow;2003;SC;UNDISTINGUISHED SUIT;High;UNKNOWN;x
31079;Chief of Army;SC – Shadow;2003;SC;UNDISTINGUISHED SUIT;High;UNKNOWN;x
31080;Chief of Army;SC – Shadow;2003;SC;UNDISTINGUISHED SUIT;High;UNKNOWN;x
31081;Chief of Navy;SC – Shadow;2003;SC;UNDISTINGUISHED SUIT;High;UNKNOWN;x
31082;Chief of Navy;SC – Shadow;2003;SC;UNDISTINGUISHED SUIT;High;UNKNOWN;x
31083;Chief of Air Force;SC – Shadow;2003;SC;UNDISTINGUISHED SUIT;High;UNKNOWN;x
31084;Chief of Air Force;SC – Shadow;2003;SC;UNDISTINGUISHED SUIT;High;UNKNOWN;x
31085;Head of State;Winfried Kretschmann;2003;SL;Pig-headed Isolationist;High;M_GER_winfried_krestschmann;x
31086;Head of State;Joschka Fischer;2003;SL;Popular Figurehead;High;M_GER_joschka_fischer;x
31087;Head of Government;Joschka Fischer;2003;SL;Flamboyant Tough Guy;High;M_GER_joschka_fischer;x
31088;Head of Government;Claudia Roth;2003;SL;Happy Amateur;High;M_GER_claudia_roth;x
31089;Head of Government;Jürgen Trittin;2003;SL;Backroom Backstabber;High;M_GER_jürgen_trittin;x
31090;Minister of Armament;Jürgen Trittin;2003;SL;Laissez Faires Capitalist;High;M_GER_jürgen_trittin;x
31091;Minister of Armament;Fritz Kühn;2003;SL;Resource Industrialist;High;M_GER_fritz_kühn;x
31092;Minister of Armament;Dietmar Strehl;2003;SL;Tank Proponent;High;M_GER_dietmar_strehl;x
31093;Foreign Minister;Reinard Büttikofer;2003;SL;Biased Intellectual;High;M_GER_reinard_büttikofer;x
31094;Foreign Minister;Steffi Lemke;2003;SL;Great Compromiser;High;M_GER_steffi_lemke;x
31095;Foreign Minister;Claudia Roth;2003;SL;Apologetic Clerk;High;M_GER_claudia_roth;x
31096;Minister of Security;Tarek al-Wazir;2003;SL;Compassionate Gentleman;High;M_GER_tarek_al-wazir;x
31097;Minister of Security;Fritz Kühn;2003;SL;Crime Fighter;High;M_GER_fritz_kühn;x
31098;Minister of Security;Malte Spitz;2003;SL;Man of the People;High;M_GER_malte_spitz;x
31099;Head of Military Intelligence;Bärbel Höhn;2003;SL;Political Specialist;High;M_GER_bärbel_höhn;x
31100;Head of Military Intelligence;Astrid Rothe-Beinlich;2003;SL;Industrial Specialist;High;M_GER_astrid_rothe-beinlich;x
31101;Head of Military Intelligence;David Cohn-Bendit;2003;SL;Technical Specialist;High;M_GER_david_cohn-bendit;x
31102;Chief of Staff;SL – Shadow;2003;SL;UNDISTINGUISHED SUIT;High;UNKNOWN;x
31103;Chief of Staff;SL – Shadow;2003;SL;UNDISTINGUISHED SUIT;High;UNKNOWN;x
31104;Chief of Navy;SL – Shadow;2003;SL;UNDISTINGUISHED SUIT;High;UNKNOWN;x
31105;Chief of Navy;SL – Shadow;2003;SL;UNDISTINGUISHED SUIT;High;UNKNOWN;x
31106;Chief of Army;SL – Shadow;2003;SL;UNDISTINGUISHED SUIT;High;UNKNOWN;x
31107;Chief of Army;SL – Shadow;2003;SL;UNDISTINGUISHED SUIT;High;UNKNOWN;x
31108;Chief of Air Force;SL – Shadow;2003;SL;UNDISTINGUISHED SUIT;High;UNKNOWN;x
31109;Chief of Air Force;SL – Shadow;2003;SL;UNDISTINGUISHED SUIT;High;UNKNOWN;x
31110;Head of State;Otto Graf Lambsdorf;2003;ML;Autocratic Charmer;High;M_GER_otto_graf_lambsdorf;x
31111;Head of State;Paul Kirchoff;2003;ML;Die-hard Reformer;High;M_GER_paul_kirchoff;x
31112;Head of Government;Wolfgang Gerhardt;2003;ML;Silent Workhorse;High;M_GER_wolfgang_gerhardt;x
31113;Head of Government;Silvana Koch-Mehrin;2003;ML;Corporate Suit;High;M_GER_silvana_koch-mehrin;x
31114;Head of Government;Dirk Niebel;2003;ML;Political Protege;High;M_GER_dirk_niebel;x
31115;Minister of Armament;Jörg van Essen;2003;ML;Tank Proponent;High;M_GER_jörg_van_essen;x
31116;Minister of Armament;Hermann Otto Solms;2003;ML;Air Superiority Proponent;High;M_GER_hermann_otto_solms;x
31117;Minister of Armament;Andreas Pinkwart;2003;ML;Laissez Faires Capitalist;High;M_GER_andreas_pinkwart;x
31118;Foreign Minister;Wolfgang Gerhardt;2003;ML;Biased Intellectual;High;M_GER_wolfgang_gerhardt;x
31119;Foreign Minister;Dirk Niebel;2003;ML;Apologetic Clerk;High;M_GER_dirk_niebel;x
31120;Foreign Minister;Silvana Koch-Mehrin;2003;ML;Great Compromiser;High;M_GER_silvana_koch-mehrin;x
31121;Minister of Security;Silvana Koch-Mehrin;2003;ML;Compassionate Gentleman;High;M_GER_silvana_koch-mehrin;x
31122;Minister of Security;Rainer Brüderle;2003;ML;Efficient Sociopath;High;M_GER_rainer_brüderle;x
31123;Minister of Security;Magnus Buhlert;2003;ML;Man of the People;High;M_GER_magnus_buhlert;x
31124;Head of Military Intelligence;Hans-Jürgen Beerfeltz;2003;ML;Technical Specialist;High;M_GER_hans-jürgen_beerfeltz;x
31125;Head of Military Intelligence;Alexander Graf Lambsdorf;2003;ML;Political Specialist;High;M_GER_alexander_graf_lambsdorf;x
31126;Head of Military Intelligence;Andreas Pinkwart;2003;ML;Dismal Enigma;High;M_GER_andreas_pinkwart;x
31127;Chief of Staff;Jörg van Essen;2003;ML;School of Fire Support;High;M_GER_jörg_van_essen;x
31128;Chief of Staff;ML Shadow;2003;ML;School of Defense;High;UNKNOWN;x
31129;Chief of Navy;ML Shadow;2003;ML;Base Control Doctrine;High;UNKNOWN;x
31130;Chief of Navy;ML Shadow;2003;ML;Indirect Approach Doctrine;High;UNKNOWN;x
31131;Chief of Army;Jörg van Essen;2003;ML;Armoured Spearhead Doctrine;High;M_GER_jörg_van_essen;x
31132;Chief of Army;ML Shadow;2003;ML;Guns and Butter Doctrine;High;UNKNOWN;x
31133;Chief of Air Force;ML Shadow;2003;ML;Air Superiority Doctrine;High;UNKNOWN;x
31134;Chief of Air Force;ML Shadow;2003;ML;Naval Aviation Doctrine;High;UNKNOWN;x
31135;Head of State;PA – Shadow;2003;PA;UNDISTINGUISHED SUIT;High;UNKNOWN;x
31136;Head of State;Jörg Schönbohm;2003;PA;Stern Imperialist;High;M_GER_jörg_schönbohm;x
31137;Head of Government;PA – Shadow;2003;PA;UNDISTINGUISHED SUIT;High;UNKNOWN;x
31138;Head of Government;PA – Shadow;2003;PA;UNDISTINGUISHED SUIT;High;UNKNOWN;x
31139;Head of Government;PA – Shadow;2003;PA;UNDISTINGUISHED SUIT;High;UNKNOWN;x
31140;Minister of Armament;PA – Shadow;2003;PA;UNDISTINGUISHED SUIT;High;UNKNOWN;x
31141;Minister of Armament;PA – Shadow;2003;PA;UNDISTINGUISHED SUIT;High;UNKNOWN;x
31142;Minister of Armament;PA – Shadow;2003;PA;UNDISTINGUISHED SUIT;High;UNKNOWN;x
31143;Foreign Minister;PA – Shadow;2003;PA;UNDISTINGUISHED SUIT;High;UNKNOWN;x
31144;Foreign Minister;PA – Shadow;2003;PA;UNDISTINGUISHED SUIT;High;UNKNOWN;x
31145;Foreign Minister;PA – Shadow;2003;PA;UNDISTINGUISHED SUIT;High;UNKNOWN;x
31146;Minister of Security;PA – Shadow;2003;PA;UNDISTINGUISHED SUIT;High;UNKNOWN;x
31147;Minister of Security;Ulrich Wegener;2003;PA;Crime Fighter;High;M_GER_ulrich_wegener;x
31148;Minister of Security;PA – Shadow;2003;PA;UNDISTINGUISHED SUIT;High;UNKNOWN;x
31149;Head of Military Intelligence;PA – Shadow;2003;PA;UNDISTINGUISHED SUIT;High;UNKNOWN;x
31150;Head of Military Intelligence;PA – Shadow;2003;PA;UNDISTINGUISHED SUIT;High;UNKNOWN;x
31151;Head of Military Intelligence;PA – Shadow;2003;PA;UNDISTINGUISHED SUIT;High;UNKNOWN;x
31152;Chief of Staff;PA – Shadow;2003;PA;UNDISTINGUISHED SUIT;High;UNKNOWN;x
31153;Chief of Staff;Reinhard Günzel;2003;PA;School of Psychology;High;M_GER_reinhard_günzel;x
31154;Chief of Navy;PA – Shadow;2003;PA;UNDISTINGUISHED SUIT;High;UNKNOWN;x
31155;Chief of Navy;PA – Shadow;2003;PA;UNDISTINGUISHED SUIT;High;UNKNOWN;x
31156;Chief of Army;PA – Shadow;2003;PA;UNDISTINGUISHED SUIT;High;UNKNOWN;x
31157;Chief of Army;PA – Shadow;2003;PA;UNDISTINGUISHED SUIT;High;UNKNOWN;x
31158;Chief of Air Force;PA – Shadow;2003;PA;UNDISTINGUISHED SUIT;High;UNKNOWN;x
31159;Chief of Air Force;Reinhard Günzel;2003;PA;Vertical Envelopment Doctrine;High;M_GER_reinhard_günzel;x
31160;Head of State;Gerhard Frey;2003;FA;Ruthless Powermonger;High;M_GER_gerhard_frey;x
31161;Head of State;Dieter Hübing;2003;FA;Powerhungry Demagogue;High;M_GER_dieter_hübing;x
31162;Head of Government;Rolf Schlierer;2003;FA;Naive Optimist;High;M_GER_rolf_schlierer;x
31163;Head of Government;Ulrich Deuschle;2003;FA;Silent Workhorse;High;M_GER_ulrich_deuschle;x
31164;Head of Government;Johann Gärtner;2003;FA;Backroom Backstabber;High;M_GER_johann_gärtner;x
31165;Minister of Armament;Kurt Hoppe;2003;FA;Military Entrepreneur;High;M_GER_kurt_hoppe;x
31166;Minister of Armament;Haymo Hoch;2003;FA;Battle Fleet Proponent;High;M_GER_haymo_hoch;x
31167;Minister of Armament;Rolf Goertz;2003;FA;Resource Industrialist;High;M_GER_rolf_goertz;x
31168;Foreign Minister;Gert Hoffmann;2003;FA;Ideological Crusader;High;M_GER_gert_hoffmann;x
31169;Foreign Minister;Hans-Gerd Wiechmann;2003;FA;Iron-fisted Brute;High;M_GER_hans-gerd_wiechmann;x
31170;Foreign Minister;Siegfried Tittmann;2003;FA;General Staffer;High;M_GER_siegfried_tittmann;x
31171;Minister of Security;Johann Gärtner;2003;FA;Silent Lawyer;High;M_GER_johann_gärtner;x
31172;Minister of Security;Ursula Winkelsett;2003;FA;Prince of Terror;High;M_GER_ursula_winkelsett;x
31173;Minister of Security;Liane Hesselbarth;2003;FA;Efficient Sociopath;High;M_GER_liane_hesselbarth;x
31174;Head of Military Intelligence;Dirk Hacaj;2003;FA;Dismal Enigma;High;M_GER_dirk_hacaj;x
31175;Head of Military Intelligence;Ursula Winkelsett;2003;FA;Naval Intelligence Specialist;High;M_GER_ursula_winkelsett;x
31176;Head of Military Intelligence;Ulrich Deuschle;2003;FA;Logistics Specialist;High;M_GER_ulrich_deuschle;x
31177;Chief of Staff;Kurt Hoppe;2003;FA;School of Fire Support;High;M_GER_kurt_hoppe;x
31178;Chief of Staff;Haymo Hoch;2003;FA;School of Psychology;High;M_GER_haymo_hoch;x
31179;Chief of Navy;Haymo Hoch;2003;FA;Power Projection Doctrine;High;M_GER_haymo_hoch;x
31180;Chief of Navy;Liane Hesselbarth;2003;FA;Base Control Doctrine;High;M_GER_liane_hesselbarth;x
31181;Chief of Army;Kurt Hoppe;2003;FA;Armoured Spearhead Doctrine;High;M_GER_kurt_hoppe;x
31182;Chief of Army;Rolf Goertz;2003;FA;Guns and Butter Doctrine;High;M_GER_rolf_goertz;x
31183;Chief of Air Force;Rolf Goertz;2003;FA;Army Aviation Doctrine;High;M_GER_rolf_goertz;x
31184;Chief of Air Force;Johann Gärtner;2003;FA;Vertical Envelopement Doctrine;High;M_GER_johann_gärtner;x
31185;Head of State;Rolf Kosiek;2003;NS;Stern Imperialist;High;M_GER_rolf_kosiek;x
31186;Head of State;Friedhelm Busse;2003;NS;Autocratic Charmer;High;M_GER_friedhelm_busse;x
31187;Head of Government;Udo Voigt;2003;NS;Happy Amateur;High;M_GER_udo_voigt;x
31188;Head of Government;Peter Marx;2003;NS;Political Protege;High;M_GER_peter_marx;x
31189;Head of Government;Horst Mahler;2003;NS;Naive Optimist;High;M_GER_horst_mahler;x
31190;Minister of Armament;Peter Marx;2003;NS;Military Entrepreneur;High;M_GER_peter_marx;x
31191;Minister of Armament;Horst Mahler;2003;NS;Air to Ground Proponent;High;M_GER_horst_mahler;x
31192;Minister of Armament;Stefan Köster;2003;NS;Corrupt Kleptocrat;High;M_GER_stefan_köster;x
31193;Foreign Minister;Horst Mahler;2003;NS;Ideological Crusader;High;M_GER_horst_mahler;x
31194;Foreign Minister;Peter Marx;2003;NS;Iron-fisted Brute;High;M_GER_peter_marx;x
31195;Foreign Minister;Michael Burkert;2003;NS;The Cloak N Dagger Schemer;High;M_GER_michael_burkert;x
31196;Minister of Security;Manfred Börm;2003;NS;Prince of Terror;High;M_GER_manfred_börm;x
31197;Minister of Security;Norman Bodin;2003;NS;Crooked Kleptocrat;High;M_GER_norman_bodin;x
31198;Minister of Security;Udo Voigt;2003;NS;Silent Lawyer;High;M_GER_udo_voigt;x
31199;Head of Military Intelligence;Stephan Haase;2003;NS;Technical Specialist;High;M_GER_stephan_haase;x
31200;Head of Military Intelligence;Uwe Leichsenring;2003;NS;Logistics Specialist;High;M_GER_uwe_leichsenring;x
31201;Head of Military Intelligence;Peter Marx;2003;NS;Political Specialist;High;M_GER_peter_marx;x
31202;Chief of Staff;Eckart Bräuniger;2003;NS;School of Fire Support;High;M_GER_eckart_bräuniger;x
31203;Chief of Staff;Otto Ritz;2003;NS;School of Manoeuvre;High;M_GER_otto_ritz;x
31204;Chief of Navy;Erwin Kemna;2003;NS;Open Seas Doctrine;High;M_GER_erwin_kemna;x
31205;Chief of Navy;Sascha Roßmüller;2003;NS;Base Control Doctrine;High;M_GER_sascha_roßmüller;x
31206;Chief of Army;Uwe Leichsenring;2003;NS;Static Defence Doctrine;High;M_GER_uwe_leichsenring;x
31207;Chief of Army;Jürgen Rieger;2003;NS;Guns and Butter Doctrine;High;M_GER_jürgen_rieger;x
31208;Chief of Air Force;Stefan Köster;2003;NS;Army Aviation Doctrine;High;M_GER_stefan_köster;x
31209;Chief of Air Force;Lars Käppler;2003;NS;Air Superiority Doctrine;High;M_GER_lars_käppler;x
31210;Head of State;Lothar Bisky;2003;LWR;Benevolent Gentleman;High;M_GER_lothar_bisky;x
31211;Head of State;Oscar Lafontaine;2003;LWR;Popular Figurehead;High;M_GER_oscar_lafontaine;x
31212;Head of Government;Oscar Lafontaine;2003;LWR;Happy Amateur;High;M_GER_oscar_lafontaine;x
31213;Head of Government;Gregor Gysi;2003;LWR;Naive Optimist;High;M_GER_gregor_gysi;x
31214;Head of Government;Katja Kipping;2003;LWR;Political Protege;High;M_GER_katja_kipping;x
31215;Minister of Armament;Oscar Lafontaine;2003;LWR;Resource Industrialist;High;M_GER_oscar_lafontaine;x
31216;Minister of Armament;Wolfgang Methling;2003;LWR;Corrupt Kleptocrat;High;M_GER_wolfgang_methling;x
31217;Minister of Armament;Karl Holluba;2003;LWR;Military Entrepreneur;High;M_GER_karl_holluba;x
31218;Foreign Minister;Wolfgang Gehrcke;2003;LWR;Ideological Crusader;High;M_GER_wolfgang_gehrcke;x
31219;Foreign Minister;Petra Pau;2003;LWR;Biased Intellectual;High;M_GER_petra_pau;x
31220;Foreign Minister;Katina Schubert;2003;LWR;The Cloak N Dagger Schemer;High;M_GER_katina_schubert;x
31221;Minister of Security;Helmut Scholz;2003;LWR;Silent Lawyer;High;M_GER_helmut_scholz;x
31222;Minister of Security;Katja Kipping;2003;LWR;Man of the People;High;M_GER_katja_kipping;x
31223;Minister of Security;Hans Modrow;2003;LWR;Crime Fighter;High;M_GER_hans_modrow;x
31224;Head of Military Intelligence;Hans Modrow;2003;LWR;Political Specialist;High;M_GER_hans_modrow;x
31225;Head of Military Intelligence;Dietmar Bartsch;2003;LWR;Dismal Enigma;High;M_GER_dietmar_bartsch;x
31226;Head of Military Intelligence;Sahra Wagenknecht;2003;LWR;Industrial Specialist;High;M_GER_sahra_wagenknecht;x
31227;Chief of Staff;Wolfgang Methling;2003;LWR;School of Fire Support;High;M_GER_wolfgang_methling;x
31228;Chief of Staff;Helmut Scholz;2003;LWR;School of Manoeuvre;High;M_GER_helmut_scholz;x
31229;Chief of Navy;Sahra Wagenknecht;2003;LWR;Decisive Naval Battle Doctrine;High;M_GER_sahra_wagenknecht;x
31230;Chief of Navy;Karl Holluba;2003;LWR;Power Projection Doctrine;High;M_GER_karl_holluba;x
31231;Chief of Army;Wolfgang Gehrcke;2003;LWR;Static Defense Doctrine;High;M_GER_wolfgang_gehrcke;x
31232;Chief of Army;Helmut Scholz;2003;LWR;Elastic Defense Doctrine;High;M_GER_helmut_scholz;x
31233;Chief of Air Force;Wolfgang Methling;2003;LWR;Naval Aviation Doctrine;High;M_GER_wolfgang_methling;x
31234;Chief of Air Force;Dietmar Bartsch;2003;LWR;Army Aviation Doctrine;High;M_GER_dietmar_bartsch;x
31235;Head of State;Stefan Engel;2003;LE;Die-hard Reformer;High;M_GER_stefan_engel;x
31236;Head of State;Klaus Wallenstein;2003;LE;Popular Figurehead;High;M_GER_klaus_wallenstein;x
31237;Head of Government;Stefan Engel;2003;LE;Naive Optimist;High;M_GER_stefan_engel;x
31238;Head of Government;Dieter Ilius;2003;LE;Backroom Backstabber;High;M_GER_dieter_ilius;x
31239;Head of Government;Günther Jacob;2003;LE;Corporate Suit;High;M_GER_günther_jacob;x
31240;Minister of Armament;Berthold Huber;2003;LE;Infantry Proponent;High;M_GER_berthold_huber;x
31241;Minister of Armament;Robert Kurz;2003;LE;Submarine Proponent;High;M_GER_robert_kurz;x
31242;Minister of Armament;Anna Bartholomé;2003;LE;Theoretical Scientist;High;M_GER_anna_bartholomé;x
31243;Foreign Minister;Peter Borgwardt;2003;LE;Ideological Crusader;High;M_GER_peter_borgwardt;x
31244;Foreign Minister;Günther Jacob;2003;LE;Apologetic Clerk;High;M_GER_günther_jacob;x
31245;Foreign Minister;Roland Meister;2003;LE;Iron-fisted Brute;High;M_GER_roland_meister;x
31246;Minister of Security;Winfried Wolf;2003;LE;Crime Fighter;High;M_GER_winfried_wolf;x
31247;Minister of Security;Monika Gärtner-Engel;2003;LE;Back Stabber;High;M_GER_monika_gärtner-engel;x
31248;Minister of Security;Jörg Weidemann;2003;LE;Man of the People;High;M_GER_jörg_weidemann;x
31249;Head of Military Intelligence;Wolfgang Göller;2003;LE;Technical Specialist;High;M_GER_wolfgang_göller;x
31250;Head of Military Intelligence;Günter Slave;2003;LE;Naval Intelligence Specialist;High;M_GER_günter_slave;x
31251;Head of Military Intelligence;Klaus Arnecke;2003;LE;Dismal Enigma;High;M_GER_klaus_arnecke;x
31252;Chief of Staff;Klaus Arnecke;2003;LE;School of Psychology;High;M_GER_klaus_arnecke;x
31253;Chief of Staff;Günter Slave;2003;LE;School of Mass Combat;High;M_GER_günter_slave;x
31254;Chief of Navy;Jörg Weideman;2003;LE;Base Control Doctrine;High;M_GER_jörg_weidemann;x
31255;Chief of Navy;Günter Slave;2003;LE;Indirect Approach Doctrine;High;M_GER_günter_slave;x
31256;Chief of Army;Klaus Arnecke;2003;LE;Guns and Butter Doctrine;High;M_GER_klaus_arnecke;x
31257;Chief of Army;Roland Meister;2003;LE;Armoured Spearhead Doctrine;High;M_GER_roland_meister;x
31258;Chief of Air Force;Peter Borgwardt;2003;LE;Air Superiority Doctrine;High;M_GER_peter_borgwardt;x
31259;Chief of Air Force;Robert Kurz;2003;LE;Carpet Bombing Doctrine;High;M_GER_robert_kurz;x
