UKR;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
86022;Head of Government;Andriy Klyuyev;2010;SD;Biased Intellectual;High;M_UKR_andriy_klyuyev;x
86023;Foreign Minister;Borys Tarasyuk;2003;ML;Great Compromiser;High;M_UKR_borys_tarasyuk;x
86024;Foreign Minister;Volodymyr Lytvyn;2003;SC;Apologetic Clerk;High;M_UKR_volodymyr_lytvyn;x
86025;Foreign Minister;Nataliya Vitrenko;2003;LE;Ideological Crusader;High;M_UKR_nataliya_vitrenko;x
86026;Foreign Minister;Oleksandr Bazylyuk;2003;SC;Great Compromiser;High;Unknown;x
86027;Foreign Minister;Raisa Bogatyryova;2005;SC;Great Compromiser;High;Unknown;x
86028;Foreign Minister;Volodymyr Ohryzko;2007;SC;Apologetic Clerk;High;Unknown;x
86029;Foreign Minister;Petro Poroshenko;2008;SL;Biased Intellectual;High;Unknown;x
86030;Minister of Armament;Victor Pynzenyk;2004;SL;Administrative Genius;High;M_UKR_victor_pynzenyk;x
86031;Minister of Armament;Volodymyr Rybak;2004;SC;Administrative Genius;High;M_UKR_volodymyr_rybak;x
86032;Head of Government;Anatoliy Kinakh;2003;ML;Smiling Oilman;High;M_UKR_anatoliy_kinakh;x
86033;Minister of Armament;Anatoliy Kinakh;2004;ML;Resource Industrialist;High;M_UKR_anatoliy_kinakh;x
86034;Minister of Armament;Anatoliy Hrytsenko;2004;ML;Military Entrepreneur;High;M_UKR_anatoliy_hrytsenko;x
86035;Minister of Security;Yuriy Lutsenko;2005;SD;Silent Workhorse;High;M_UKR_yuriy_lutsenko;x
86036;Minister of Security;Vasyl Tsushko;2004;SD;Crooked Kleptocrat;High;M_UKR_vasyl_tsushko;x
86037;Minister of Armament;Oleksandr Tkachenko;2003;LE;Administrative Genius;High;Unknown;x
86038;Minister of Armament;Vasyl Volha;2009;ML;Laissez Faires Capitalist;High;Unknown;x
86039;Head of Military Intelligence;Ihor Konovalov;2004;SD;Technical Specialist;High;M_UKR_ihor_konovalov;x
86040;Head of Military Intelligence;Valeriy Pidbolyachny;2004;SC;Dismal Enigma;High;Unknown;x
86041;Head of Military Intelligence;Oleksandr Skipalski;2004;SL;Dismal Enigma;High;Unknown;x
86042;Head of Military Intelligence;Oleh Skylar;2005;SL;Industrial Specialist;High;Unknown;x
86043;Chief of Staff;Ihor Kniaz;2003;NA;School of Defence;High;Unknown;x
86044;Chief of Staff;Igor Tenyuh;2006;NA;School of Defence;High;M_UKR_igor_tenyuh;x
86045;Chief of Staff;Ivan Rusnak;2005;NA;School of Fire Support;High;M_UKR_ivan_rusnak;x
86046;Chief of Staff;Ivan Svyda;2003;NA;School of Mass Combat;High;M_UKR_ivan_svyda;x
86047;Chief of Staff;Anatoliy Toropchyn;2003;NA;School of Fire Support;High;M_UKR_anatoliy_toropchyn;x
86048;Chief of Army;Sergiy Kirichenko;2003;NA;Armoured Spearhead Doctrine;High;Unknown;x
86049;Chief of Navy;Ihor Kniaz;2003;NA;Decisive Naval Battle Doctrine;High;Unknown;x
86050;Chief of Navy;Igor Tenyuh;2006;NA;Indirect Approach Doctrine;High;M_UKR_igor_tenyuh;x
86051;Chief of Air Force;Ivan Rusnak;2005;NA;Air Superiority Doctrine;High;M_UKR_ivan_rusnak;x
86052;Minister of Armament;Oleksandr Kuzmuk;2003;SC;Military Entrepreneur;High;M_UKR_oleksandr_kuzmuk;x
86053;Chief of Staff;Sergiy Kirichenko;2003;NA;School of Psychology;High;Unknown;x
86054;Head of Government;Yevhen Kushnaryov;2003;SC;Silent Workhorse;High;M_UKR_yevhen_kushnaryov;x
86055;Minister of Armament;Yuriy Yekhanurov;2007;SL;Administrative Genius;High;Unknown;x
86056;Foreign Minister;Arseniy Yatsenyuk;2007;ML;Apologetic Clerk;High;M_UKR_arseniy_yatsenyuk;x
86057;Head of State;Viktor Yanukovych;2004;SL;Autocratic Charmer;High;M_UKR_viktor_yanukovych;x
86058;Head of State;Victor Yuschenko;2004;SC;Die-hard Reformer;High;M_UKR_victor_yuschenko;x
