COL;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
17519;Chief of Staff;Freddy Padilla de León;2004;NA;School of Psychology;High;M_COL_freddy_padilla_de_león;x
17520;Chief of Army;Freddy Padilla de León;2003;NA;Elastic Defence Doctrine;High;M_COL_freddy_padilla_de_león;x
17521;Chief of Staff;Carlos Alberto Ospina;2003;NA;School of Manoeuvre;High;M_COL_carlos_alberto_ospina;x
17522;Chief of Army;Reinaldo Castellanos Trujillo;2003;NA;Decisive Battle Doctrine;High;M_COL_reinaldo_castellanos_trujillo;x
17523;Chief of Army;Mario Montoya;2004;NA;Armoured Spearhead Doctrine;High;M_COL_mario_montoya;x
17524;Chief of Staff;Mario Montoya;2006;NA;School of Fire Support;High;M_COL_mario_montoya;x
17525;Chief of Army;Óscar Enrique González;2008;NA;Guns and Butter Doctrine;High;M_COL_óscar_enrique_gonzález;x
17526;Chief of Staff;Óscar Enrique González;2010;NA;School of Manoeuvre;High;M_COL_óscar_enrique_gonzález;x
17527;Chief of Navy;Guillermo Barrera Hurtado;2006;NA;Base Control Doctrine;High;M_COL_guillermo_barrera_hurtado;x
17528;Chief of Air Force;Jorge Ballesteros Rodríguez;2006;NA;Air Superiority Doctrine;High;M_COL_jorge_ballesteros_rodríguez;x
17529;Head of state;Guillermo León Sáenz;2003;ST;Power-Hungry Demagogue;High;M_COL_guillermo_león_sáenz;x
17530;Minister of Armament;Víctor Suárez Rojas;2003;ST;Corrupt Kleptocrat;High;M_COL_víctor_suárez_rojas;x
17531;Foreign Minister;Luis Albán Burbano;2003;ST;Iron-fisted Brute;High;M_COL_luis_albán_burbano;x
17532;Head of Government;Jorge Torres Victoria;2003;ST;Backroom Backstabber;High;M_COL_jorge_torres_victoria;x
17533;Minister of Security;Milton Redondo;2003;ST;Prince of Terror;High;M_COL_milton_redondo;x
17534;Minister of Security;Rodrigo Londono-Echeverry;2003;ST;Back Stabber;High;M_COL_rodrigo_londono-echeverry;x
17535;Head of Military Intelligence;Luis Losada;2003;ST;Political Specialist;High;M_COL_luis_losada;x
17536;Head of Military Intelligence;Luciano Arango;2003;ST;Logistics Specialist;High;M_COL_luciano_arango;x
17537;Chief of Staff;Jose Cuevas;2003;ST;School of Psychology;High;M_COL_jose_cuevas;x
17538;Minister of Security;Sabas Pretelt;2003;ML;Man of the People;High;M_COL_sabas_pretelt;x
17539;Minister of Security;Carlos Sardi;2003;ML;Compassionate Gentleman;High;M_COL_carlos_sardi;x
17540;Head of State;Carlos Sardi;2010;ML;Benevolent Gentleman;High;M_COL_carlos_sardi;x
17541;Head of Government;Carlos Sardi;2010;ML;Flamboyant Tough Guy;High;M_COL_carlos_sardi;x
17542;Minister of Security;Fabio Valencia Cossio;2003;ML;Crime Fighter;High;M_COL_fabio_valencia_cossio;x
17543;Head of State;Carlos Gaviria Díaz;2003;SD;Weary Stiffneck;High;M_COL_carlos_gaviria_díaz;x
17544;Head of Government;Carlos Gaviria Díaz;2003;SD;Ambitious Union Boss;High;M_COL_carlos_gaviria_díaz;x
17545;Foreign Minister;Vera Grabe;2003;SD;Ideological Crusader;High;Unknown;x
17546;Minister of Security;Ivan Moreno Rojas;2003;SD;Silent Lawyer;High;M_COL_ivan_moreno_rojas;x
17547;Minister of Armament;Gustavo Petro;2003;SD;Tank Proponent;High;M_COL_gustavo_petro;x
17548;Head of Military Intelligence;Andres Penate;2003;SL;Industrial Specialist;High;M_COL_andres_penate;x
17549;Head of Military Intelligence;Maria Hurtado;2003;ML;Dismal Enigma;High;M_COL_maria_hurtado;x
17550;Chief of Air Force;Fernando Torres;2008;NA;Naval Aviation Doctrine;High;M_COL_fernando_torres;x
17551;Chief of Navy;Carlos Pineda;2008;NA;Power Projection Doctrine;High;M_COL_carlos_pineda;x
17552;Chief of Navy;Edgar Augusto Cely;2005;NA;Indirect Approach Doctrine;High;M_COL_edgar_augusto_cely;x
17553;Chief of Navy;Jaime Parra;2005;NA;Open Seas Doctrine;High;M_COL_jaime_parra;x
17554;Chief of Air Force;Edgar Alfonso Lésmez;2003;NA;Army Aviation Doctrine;High;M_COL_edgar_alfonso_lésmez;x
17555;Chief of Army;Gilberto Ayala;2006;NA;Guns and Butter Doctrine;High;M_COL_gilberto_ayala;x
