TRA;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
80537;Chief of Staff;Huo Shou-yeh;2003;SL;Elastic Defense Doctrine;High;M_TRA_huo_shou-yeh;x
80538;Chief of Air Force;Liu Kuei-li;2003;NA;Air to Sea Proponent;High;Unknown;x
80539;Chief of Staff;Liu Kuei-li;2008;NA;School of Fire Support;High;Unknown;x
80540;Chief of Army;Hu Chen-pu;2003;NA;Armoured Spearhead Doctrine;High;M_TRA_hu_chen-pu;x
80541;Chief of Staff;Hu Chen-pu;2005;NA;School of Fire Support;High;M_TRA_hu_chen-pu;x
80542;Chief of Navy;Lin Chen-yi;2006;NA;Power Projection Doctrine;High;Unknown;x
80543;Chief of Staff;Lin Chen-yi;2007;NA;School of Psychology;High;Unknown;x
80544;Chief of Air Force;Shen Kuo-chen;2006;NA;Army Aviation Doctrine;High;Unknown;x
80545;Head of Government;James Chu-yu Soong;2003;SC;Flamboyant Tough Guy;High;M_TRA_james_soong;x
80546;Head of State;James Chu-yu Soong;2003;SC;Stern Imperialist;High;M_TRA_james_soong;x
80547;Head of Government;Tsai Ing-wen;2008;SL;Silent Workhorse;High;M_TRA_tsai_ing-wen;x
80548;Head of State;Tsai Ing-wen;2012;SL;Benevolent Gentleman;High;M_TRA_tsai_ing-wen;x
80549;Chief of Army;Chaou Shih-Chang;2003;NA;Elastic Defense Doctrine;High;M_TRA_chaou_shih-chang;x
80550;Chief of Staff;Chaou Shih-Chang;2006;NA;School of Fire Support;High;M_TRA_chaou_shih-chang;x
80551;Chief of Air Force;Peng Sheng-chu;2006;NA;Air Superiority Doctrine;High;M_TRA_peng_sheng-chu;x
80552;Chief of Navy;Wang Li-shen;2006;NA;Decisive Naval Battle Doctrine;High;Unknown;x
80553;Minister of Security;Tsai Chao-ming;2003;NA;Compassionate Gentleman;High;M_TRA_tsai_chao-ming;x
80554;Head of Military Intelligence;Su Chi;2003;NA;Technical Specialist;High;M_TRA_su_chi;x
80555;Head of Government;Wu Poh-hsiung;2007;ML;Silent Workhorse;High;M_TRA_wu_poh-hsiung;x
80556;Minister of Armament;Lin Hsin-i;2005;SL;Resource Industrialist;Medium;M_TRA_lin_hsin-i;x
80557;Foreign Minister;Joseph Wu;2003;SL;Biased Intellectual;Medium;M_TRA_joseph_wu;x
80558;Minister of Armament;Lin Chung-cheng;2004;SL;Corrupt Kleptocrat;Medium;M_TRA_lin_chung-cheng;x
80559;Minister of Security;Liao Cheng-hao;2003;ML;Crime Fighter;High;M_TRA_liao_cheng-hao;x
80560;Minister of Security;Shih Mao-lin;2003;ML;Man of the People;High;M_TRA_shih_mao-lin;x
80561;Minister of Security;Cheng Chung-mo;2005;ML;Crooked Kleptocrat;High;M_TRA_cheng_chung-mo;x
80562;Head of Military Intelligence;Chiou I-jen;2003;SL;Dismal Enigma;Medium;M_TRA_chiou_i-jen;x
80563;Head of Military Intelligence;Shi Hwei-yow;2004;ML;Political Specialist;High;M_TRA_shi_hwei-yow;x
80564;Chief of Army;Chen Chen-hsiang;2003;NA;Guns and Butter Doctrine;High;M_TRA_chen_chen-hsiang;x
80565;Chief of Air Force;Liu Gui-li;2003;NA;Carpet Bombing Doctrine;High;M_TRA_liu_gui-li;x
80566;Chief of Air Force;Shen Kuo-chen;2006;NA;Vertical Envelopment Doctrine;High;M_TRA_shen_kuo-chen;x
80567;Foreign Minister;Jason Hu;2003;ML;Great Compromiser;Very high;M_TRA_jason_hu;x
80568;Minister of Security;Wang Cho-chun;2004;ML;Silent Lawyer;High;M_TRA_wang_cho-chun;x
80569;Head of Military Intelligence;Hsueh Shih-ming;2005;NA;Logistics Specialist;High;M_TRA_hsueh_shih-ming;x
80570;Foreign Minister;Chen Tan-sun;2004;SL;General Staffer;High;M_TRA_chen_tan-sun;x
