RUS;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
69064;Chief of Staff;Yevgeniy Shaposhnikov;2003;NA;School of Manoeuvre;Very High;M_RUS_yevgeniy_shaposhnikov;x 
69065;Chief of Staff;Vladimir Masorin;2007;NA;School of Psychology;High;M_RUS_vladimir_masorin;x 
69066;Chief of Army;Nikolai Rogozhkin;2003;NA;Guns and Butter Doctrine;High;M_RUS_nikolai_rogozhkin;x 
69067;Chief of Army;Alexey Maslov;2003;NA;Armoured Spearhead Doctrine;High;M_RUS_alexey_maslov;x 
69068;Chief of Army;Alexandr Morozov;2003;NA;Decisive Battle Doctrine;High;M_RUS_alexandr_morozov;x 
69069;Chief of Army;Vladimir Moltensky;2003;NA;Static Defence Doctrine;High;M_RUS_vladimir_moltensky;x 
69070;Chief of Navy;Vladimir Visocky;2003;NA;Open Seas Doctrine;High;M_RUS_vladimir_visocky;x 
69071;Chief of Navy;Vladimir Masorin;2003;NA;Base Control Doctrine;High;M_RUS_vladimir_masorin;x 
69072;Chief of Navy;Gennadiy Suchkov;2003;NA;Indirect Approach Doctrine;High;M_RUS_gennadiy_suchkov;x 
69073;Chief of Navy;Vladimir Komoedov;2003;NA;Decisive Naval Battle Doctrine;High;M_RUS_vladimir_komoedov;x 
69074;Chief of Navy;Alexandr Kletskov;2003;NA;Open Seas Doctrine;High;M_RUS_alexandr_kletsov;x 
69075;Chief of Navy;Alexandr Goncharov;2003;NA;Decisive Naval Battle Doctrine;High;M_RUS_alexandr_goncharov;x 
69076;Chief of Air Force;Alexandr Zelin;2003;NA;Carpet Bombing Doctrine;Medium;M_RUS_alexandr_zelin;x
69077;Chief of Air Force;Viktor Sokerin;2003;NA;Naval Aviation Doctrine;Medium;M_RUS_viktor_sokerin;x
69078;Chief of Air Force;Igor Hvorov;2003;NA;Carpet Bombing Doctrine;Medium;M_RUS_igor_hvorov;x
69079;Chief of Air Force;Georgiy Shpak;2003;NA;Vertical Envelopment Doctrine;Medium;M_RUS_georgiy_shpak;x
69080;Foreign Minister;Petro Symonenko;2007;LE;Ideological Crusader;High;M_RUS_petro_symonenko;x
69081;Head of Government;Alexander Lukashenko;2007;PA;Backroom Backstabber;High;M_RUS_alexander_lukashenko;x 
69082;Chief of Staff;Sergei Gurulev;2007;NA;School of Defence;High;M_RUS_sergei_gurulev;x 
69083;Chief of Army;Stanislav Smolsky;2007;NA;Elastic Defence Doctrine;High;M_RUS_stanislav_smolsky;x 
69084;Chief of Air Force;Oleg Paferov;2007;NA;Air Superiority Doctrine;High;M_RUS_oleg_paferov;x 
69085;Minister of Armament;Viktor Hristenko;2003;PA;Resource Industrialist;High;M_RUS_viktor_hristenko;x 
69086;Head of State;Dmitry Medvedev;2008;SC;Benevolent Gentleman;High;M_RUS_dmitry_medvedev;x
69087;Minister of Armament;Anatoliy Serdyukov;2007;SC;Laissez Faire Capitalist;High;M_RUS_anatoliy__serdyukov;x
69088;Minister of Armament;Viktor Tyulkin;2003;LE;Theoretical Scientist;High;Unknown;x
69089;Head of Government;Vladimir Putin;2004;SC;Flamboyant Tough Guy;High;M_RUS_vladimir_putin;x
69090;Head of Government;Dmitry Medvedev;2008;SC;Naive Optimist;High;M_RUS_dmitry_medvedev;x
69091;Minister of Armament;Boris Gromov;2003;LE;Military Entrepreneur;High;M_RUS_boris_gromov;x
