POL;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
66574;Foreign Minister;Adam Rotfeld;2003;SL;General Staffer;High;M_POL_adam_rotfeld;x
66575;Foreign Minister;Radoslaw Sikorski;2006;SC;General Staffer;Very High;M_POL_radoslaw_sikorski;x
66576;Foreign Minister;Stefan Meller;2004;SC;Great Compromiser;Medium;M_POL_stefan_meller;x
66577;Foreign Minister;Anna Fotyga;2005;SC;Biased Intellectual;Medium;M_POL_anna_fotyga;x
66578;Foreign Minister;Jerzy Buzek;2003;SC;Biased Intellectual;High;M_POL_jerzy_buzek;x 
66579;Foreign Minister;Jaroslaw Sellin;2003;SC;Biased Intellectual;High;M_POL_jarowslaw_sellin;x 
66580;Foreign Minister;Andrzej Celinski;2003;SL;Biased Intellectual;High;M_POL_andrzej_celinski;x
66581;Foreign Minister;Boguslaw Rogalski;2009;FA;Ideological Crusader;Medium;M_POL_boguslaw_rogalski;x
66582;Foreign Minister;Malgorzata Kidawa-Blonska;2006;ML;Great Compromiser;High;M_POL_malgorzata_kidawa-blonska;x
66583;Foreign Minister;Piotr Gadzinowski;2005;LWR;Iron Fisted Brute;Low;M_POL_piotr_gadzinowski;x
66584;Foreign Minister;Jan lopuszanski;2003;FA;The Cloak N Dagger Schemer;Low;M_POL_jan_iopuszanski;x
66591;Minister of Armament;Jerzy Hausner;2003;SL;Resource Industrialist;High;M_POL_jerzy_hausner;x
66592;Minister of Armament;Zyta Gilowska;2005;ML;Laissez Faires Capitalist;High;M_POL_zyta_gilowska;x 
66593;Minister of Armament;Renata Beger;2003;LWR;Corrupt Kleptocrat;Low;M_POL_renata_beger;x 
66594;Minister of Armament;Leszek Balcerowicz;2003;ML;Administrative Genius;High;M_POL_leszek_balcerowicz;x 
66595;Minister of Armament;Zygmunt Wrzodak;2003;PA;Military Entrepreneur;High;M_POL_zygmunt_wrzodak;x 
66596;Minister of Armament;Hanna Gronkiewicz-Waltz;2005;ML;Laissez Faires Capitalist;High;M_POL_hanna_gronkiewicz-waltz;x 
66597;Minister of Armament;Janusz Steinhoff;2003;SC;Resource Industrialist;High;M_POL_janusz_steinhoff;x 
66598;Minister of Armament;Bronislaw Komorowski;2003;ML;Military Entrepreneur;High;M_POL_bronislaw_komorowski;x 
66599;Minister of Armament;Jacek Piechota;2003;SD;Resource Industrialist;High;M_POL_jacek_piechota;x 
66600;Minister of Armament;Pawel Piskorski;2003;ML;Corrupt Kleptocrat;High;M_POL_pawel_piskorski;x 
66601;Minister of Armament;Adam Lipinski;2004;SC;Resource Industrialist;High;M_POL_adam_lipinski;x
66602;Minister of Armament;Aleksander Szczyglo;2005;SC;Infantry Proponent;Low;M_POL_aleksander_szczyglo;x
66603;Minister of Armament;Bogdan Klich;2005;ML;Air Superiority Proponent;Medium;M_POL_bogdan_klich;x
66604;Minister of Armament;Radoslaw Sikorski;2004;SC;Air Superiority Proponent;Very High;M_POL_radoslaw_sikorski;x
66605;Minister of Armament;Wojciech Popiela;2005;PA;Submarine Proponent;Medium;M_POL_wojciech_popiela;x
66606;Minister of Armament;Janusz Onyszkiewicz;2003;ML;Military Entrepreneur;High;M_POL_janusz_onyszkiewicz;x 
66607;Minister of Armament;Zbigniew Chlebowski;2005;ML;Laissez Faires Capitalist;High;M_POL_zbigniew_chlebowski;x 
66608;Minister of Armament;Waldemar Pawlak;2003;SL;Resource Industrialist;High;M_POL_waldemar_pawlak;x
66609;Minister of Armament;Jaroslaw Kalinowski;2003;SL;Infantry Proponent;Medium;M_POL_jaroslaw_kalinoswki;x
66610;Minister of Armament;Marek Belka;2003;SL;Resource Industrialist;High;M_POL_marek_belka;x
66611;Minister of Armament;Marek Borowski;2004;SL;Air to Ground Proponent;High;M_POL_marek_borowski;x
66612;Minister of Armament;Andrzej Lepper;2005;LWR;Corrupt Kleptocrat;Medium;M_POL_andrzej_lepper;x
66613;Minister of Armament;Jerzy Polaczek;2005;SC;Resource Industrialist;High;M_POL_jerzy_polaczek;x 
66614;Minister of Armament;Wojciech Filemonowicz;2005;SL;Resource Industrialist;High;M_POL_wojciech_filemonowicz;x 
66615;Minister of Armament;Dariusz Grabowski;2003;FA;Resource Industrialist;High;M_POL_dariusz_grabowski;x
66616;Minister of Armament;Stanislaw Koziej;2005;ML;Resource Industrialist;High;M_POL_stanislaw_koziej;x
66617;Minister of Armament;Michal Fiszer;2003;PA;Air to Ground Proponent;High;M_POL_michal_fiszer;x
66618;Minister of Armament;Joanna Mucha;2003;ML;Laissez Faires Capitalist;High;M_POL_joanna_mucha;x
66624;Minister of Security;Grzegorz Kurczuk;2003;SD;Crime Fighter;High;M_POL_grzegorz_kurczuk;x 
66625;Minister of Security;Wladyslaw Frasyniuk;2003;ML;Man of the People;High;M_POL_wladyslaw_frasyniuk;x 
66626;Minister of Security;Ludwik Dorn;2003;SC;Prince of Terror;Very High;M_POL_ludwik_dorn;x 
66627;Minister of Security;Józef Oleksy;2003;SD;Compassionate Gentleman;High;M_POL_józef_oleksy;x 
66628;Minister of Security;Robert Strak;2003;PA;Efficient Sociopath;High;M_POL_robert_strak;x 
66629;Minister of Security;Stanislaw lyzwinski;2003;LWR;Back Stabber;High;M_POL_stanislaw_iyzwinski;x 
66630;Minister of Security;Henryk Dzido;2003;LWR;Crooked Kleptocrat;Low;M_POL_henryk_dzido;x 
66631;Minister of Security;Zbigniew Ziobro;2004;SC;Man of the People;Medium;M_POL_zbigniew_ziobro;x 
66632;Minister of Security;Andrzej Kalwas;2003;SD;Silent Lawyer;Medium;M_POL_andrzej_kalwas;x 
66633;Minister of Security;Przemyslaw Edgar Gosiewski;2004;SC;Silent Lawyer;Low;M_POL_przemyslaw_edgar_gosiewski;x 
66634;Minister of Security;Andrzej Zoll;2003;ML;Silent Lawyer;High;M_POL_andrzej_zoll;x
66635;Minister of Security;Grzegorz Schetyna;2004;ML;Compassionate Gentleman;High;M_POL_grzegorz_schetyna;x
66636;Minister of Security;Zbigniew Cwiakalski;2005;ML;Silent Lawyer;High;M_POL_zbigniew_cwiakalski;x  
66637;Minister of Security;Marian Filar;2006;ML;Compassionate Gentleman;High;M_POL_marian_filar;x
66638;Minister of Security;Józef Pinior;2006;SL;Silent Lawyer;High;M_POL_józef_pinior;x
66639;Minister of Security;Janusz Korwin-Mikke;2003;PA;Efficient Sociopath;High;M_POL_janusz_korwin-mikke;x
66640;Minister of Security;Stanislaw Michalkiewicz;2003;PA;Prince of Terror;High;M_POL_stanislaw_michalkiewicz;x
66641;Minister of Security;Stefan Niesiolowski;2003;SC;Back Stabber;Medium;M_POL_stefan_niewsiolowski;x
66642;Minister of Security;Janusz Palikot;2003;ML;Man of the People;High;M_POL_janusz_palikot;x
66643;Minister of Security;Jacek Kurski;2004;SC;Back Stabber;Medium;M_POL_jacek_kurski;x
66644;Minister of Security;Ryszard Kalisz;2004;SL;Compassionate Gentleman;Medium;M_POL_ryszard_kalisz;x
66645;Minister of Security;Piotr Krzywicki;2005;SC;Silent Lawyer;High;M_POL_piotr_krzywicki;x
66646;Minister of Security;Jan Maria Rokita;2003;SC;Efficient Sociopath;High;M_POL_jan_maria_rokita;x
66647;Minister of Security;Artur Zawisza;2003;SC;Efficient Sociopath;High;M_POL_artur_zawisza;x
66648;Minister of Security;Wladyslaw Stasiak;2003;SC;Prince of Terror;High;M_POL_wladyslaw_stasiak;x 
66649;Minister of Security;Janusz Kaczmarek;2003;SC;Crooked Kleptocrat;Low;M_POL_janusz_kaczmarek;x
66650;Minister of Security;Andrzej Czuma;2003;ML;Man of the People;Low;M_POL_andrzej_czuma;x
66651;Minister of Security;Brygida Kuzniak;2009;ML;Compassionate Gentleman;High;M_POL_brygida_kuzniak;x 
66652;Minister of Security;Andrzej Zapalowski;2009;FA;Silent Lawyer;High;Unknown;x
66653;Minister of Security;Bogdan Zdrojewski;2009;ML;Compassionate Gentleman;High;M_POL_bogdan_zdrojewski;x
66654;Minister of Security;Julia Pitera;2007;ML;Silent Lawyer;High;M_POL_julia_pitera;x
66656;Head of Military Intelligence;Zbigniew Siemiatkowski;2005;SD;Political Specialist;High;M_POL_zbigniew_siemiakowski;x
66657;Head of Military Intelligence;Tadeusz Rusak;2005;ML;Technical Specialist;High;M_POL_tadeusz_rusak;x 
66658;Head of Military Intelligence;Andrzej Ekiert;2005;SC;Logistics Specialist;High;M_POL_andrzej_ekiert;x 
66659;Head of Military Intelligence;Antoni Macierewicz;2003;PA;Political Specialist;High;M_POL_antoni_macierewicz;x 
66660;Head of Military Intelligence;Zbigniew Wassermann;2004;SC;Political Specialist;Very High;M_POL_zbigniew_wassermann;x 
66661;Head of Military Intelligence;Konstanty Miodowicz;2003;ML;Political Specialist;High;M_POL_konstanty_miodowicz;x 
66662;Head of Military Intelligence;Janusz Bojarski;2003;SL;Industrial Specialist;High;M_POL_janusz_bojarski;x
66663;Head of Military Intelligence;Andrzej Barcikowski;2003;SD;Political Specialist;High;M_POL_andrzej_barcikowski;x
66664;Head of Military Intelligence;Andrzej Ananicz;2004;ML;Logistics Specialist;High;M_POL_andrzej_ananicz;x
66665;Head of Military Intelligence;Zbigniew Nowek;2005;SC;Dismal Enigma;High;M_POL_zbigniew_nowek;x
66666;Head of Military Intelligence;Andrzej Karweta;2009;SC;Naval Intelligence Specialist;High;M_POL_andrzej_karweta;x
66667;Head of Military Intelligence;Pawel Gras;2006;ML;Political Specialist;High;M_POL_pawel_gras;x
66668;Head of Military Intelligence;Krzysztof Bondaryk;2006;ML;Industrial Specialist;High;M_POL_krzysztof_bondaryk;x
66669;Head of Military Intelligence;Janusz Nosek;2006;ML;Logistics Specialist;High;M_POL_janusz_nosek;x
66672;Chief of Staff;Mieczyslaw Cieniuch;2004;SD;School of Defence;High;M_POL_mieczydlaw_cieniuch;x 
66673;Chief of Staff;Tadeusz Wilecki;2003;PA;School of Mass Combat;High;M_POL_tadeusz_wilecki;x 
66674;Chief of Staff;Edward Pietrzyk;2003;SD;School of Fire Support;High;M_POL_edward_pietrzyk;x 
66675;Chief of Staff;Mieczyslaw Bieniek;2004;SD;School of Manoeuvre;High;M_POL_mieczyslaw_bieniek;x
66676;Chief of Staff;Franciszek Gagor;2005;SC;School of Psychology;High;M_POL_franciszek_gagor;x
66677;Chief of Staff;Wlodzimierz Potasinski;2009;ML;School of Manoeuvre;High;M_POL_wlodzimierz_potasinski;x
66678;Chief of Staff;Roman Krzyzelewski;2004;SD;School of Mass Combat;High;M_POL_roman_krzyzelewski;x
66679;Chief of Staff;Andrzej Blasik;2006;SC;School of Fire Support;High;M_POL_andrzej_blasik;x
66680;Chief of Staff;Lech Konopka;2003;SL;School of Psychology;High;M_POL_lech_konopka;x
66681;Chief of Army;Ryszard Chwastek;2003;PA;Armoured Spearhead Doctrine;High;M_POL_ryszard_chwastek;x 
66682;Chief of Army;Andrzej Ekiert;2003;SC;Decisive battle doctrine;High;M_POL_andrzej_ekiert;x 
66683;Chief of Army;Waldemar Skrzypczak;2005;SC;Elastic Defence Doctrine;High;M_POL_waldemar_skrypczak;x
66684;Chief of Army;Piotr Czerwinski;2006;ML;Armoured Spearhead Doctrine;High;M_POL_piotr_czerwinski;x
66685;Chief of Army;Franciszek Gagor;2005;SC;Elastic Defence Doctrine;High;M_POL_franciszek_gagor;x
66686;Chief of Army;Mieczyslaw Bieniek;2004;SL;Guns and Butter Doctrine;High;M_POL_mieczyslaw_bieniek;x
66687;Chief of Army;Wlodzimierz Potasinski;2011;ML;Guns and Butter Doctrine;High;M_POL_wlodzimierz_potasinski;x
66691;Chief of Navy;Jedrzej Czajkowski;2003;SD;Open Seas Doctrine;High;M_POL_jedrzej_czajkowski;x
66692;Chief of Navy;Roman Krzyzelewski;2003;SD;Indirect Approach Doctrine;High;M_POL_roman_krzyzelewski;x
66693;Chief of Navy;Andrzej Karweta;2006;SC;Indirect Approach Doctrine;High;Unknown;x
66694;Chief of Navy;Waldemar Gluszko;2006;SL;Power Projection Doctrine;High;M_POL_waldemar_gluszko;x
66695;Chief of Navy;Maciej Weglewski;2006;ML;Base Control Doctrine;High;M_POL_maciej_weglewski;x
66696;Chief of Navy;Adam Mazurek;2005;SL;Base Control Doctrine;High;M_POL_adam_mazurek;x
66697;Chief of Navy;Stefan Tandecki;2006;PA;Indirect Approach Doctrine;High;M_POL_stefan_tandecki;x
66698;Chief of Navy;Romuald Waga;2006;LWR;Power Projection Doctrine;High;M_POL_romuald_waga;x
66701;Chief of Air Force;Andrzej Blasik;2006;SC;Air Superiority Doctrine;High;M_POL_andrzej_blasik;x
66702;Chief of Air Force;Krzysztof Zaleski;2006;SL;Army Aviation Doctrine;High;M_POL_krzysztof_zaleski;x
66703;Chief of Air Force;Jerzy Fryczynski;2006;SD;Naval Aviation Doctrine;High;M_POL_jerzy_fryczynski;x 
66704;Chief of Air Force;Ryszard Hac;2006;ML;Army Aviation Doctrine;High;M_POL_ryszard_hac;x
66705;Chief of Air Force;Andrzej Andrzejewski;2004;SL;Air Superiority Doctrine;Very High;M_POL_andrzej_andrzejewski;x
66706;Chief of Air Force;Stanislaw Targosz;2003;SL;Air Superiority Doctrine;High;M_POL_stanislaw_targosz;x
66707;Chief of Air Force;Zbigniew Galec;2007;SL;Air Superiority Doctrine;High;M_POL_zbigniew_galec;x
66708;Chief of Air Force;Janusz Konieczny;2007;PA;Air Superiority Doctrine;High;M_POL_janusz_konieczny;x
66709;Chief of Air Force;Andrzej Duleba;2003;SD;Army Aviation Doctrine;High;M_POL_andrzej_duleba;x
66710;Chief of Air Force;Jacek Bartoszcze;2003;SL;Air Superiority Doctrine;High;M_POL_jacek_bartoszcze;x
