SER;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x;
71046;Foreign Minister;Biserka Jevtimijevic Drinjakovic;2014;SL;Great Compromiser;high;M_SER_biserka_jevtimijevic_drinjakovic;x;
71047;Head of Government;Nenad Canak;2003;SL;Flamboyant Tough Guy;high;M_SER_nenad_canak;x;
71048;Head of State;Nenad Canak;2003;SL;Benevolent Gentleman;high;M_SER_nenad_canak;x;
71049;Minister of Armament;Igor Jovicic;2010;ML;Administrative Genius;high;M_SER_igor_jovicic;x;
71050;Foreign Minister;Milan Parivodic;2008;ML;Great Compromiser;high;M_SER_milan_parivodic;x;
71051;Minister of Security;Borislav Pelevic;2003;PA;Back Stabber;high;M_SER_borislav_pelevic;x;
71052;Minister of Security;Dusan Petrovic;2007;SL;Man of the People;high;M_SER_dusan_petrovic;x;
71053;Foreign Minister;Jovan Ratkovic;2008;SL;Apologetic Clerk;high;M_SER_jovan_ratkovic;x;
71054;Foreign Minister;Aleksandar Vucic;2003;PA;Iron Fisted Brute;high;Unknown;x;
71055;Minister of Armament;Zoran Stankovic;2003;ML;Laissez Faires Capitalist;high;M_SER_zoran_stankovic;x;
71056;Head of Government;Boris Tadic;2003;SL;Flamboyant Tough Guy;high;M_SER_boris_tadic;x;
71057;Head of State;Boris Tadic;2003;SL;Benevolent Gentleman;high;M_SER_boris_tadic;x;
71058;Head of State;Ivica Dacic;2004;SD;Pig-headed Isolationist;high;M_SER_ivica_dacic;x;
71059;Head of State;Dragan Marsicanin;2004;ML;Weary Stiffneck;high;M_SER_dragan_marsicanin;x;
71060;Chief of Air Force;Nebojsa Djukanovic;2010;NA;Army Aviation Doctrine;high;M_SER_nebojsa_djukanovic;x;
71061;Chief of Army;Vojin Jondic;2011;NA;Elastic Defence Doctrine;high;M_SER_vojin_jondic;x;
71062;Head of Military Intelligence;Zivko Terzic;2008;NA;Naval Intelligence Specialist;high;M_SER_zivko_terzic;x;
71063;Head of Military Intelligence;Zdravko Jelisavcic;2003;NA;Logistics Specialist;high;M_SER_zdravko_jelisavcic;x;
71064;Chief of Army;Milomir Miladinovic;2003;NA;Decisive Battle Doctrine;high;M_SER_milomir_miladinovic;x;
71065;Chief of Staff;Milomir Miladinovic;2004;NA;School of Defence;high;M_SER_milomir_miladinovic;x;
71066;Chief of Staff;Mihajlo Zarkovic;2004;NA;School of Psychology;high;M_SER_mihajlo_zarkovic;x;
71067;Chief of Army;Jovan Lakcevic;2003;NA;Elastic Defence Doctrine;high;M_SER_jovan_lakcevic;x;
71068;Chief of Staff;Jovan Lakcevic;2005;NA;School of Fire Support;high;M_SER_jovan_lakcevic;x;
71069;Head of Military Intelligence;Milan Zaric;2003;NA;Logistics Specialist;high;M_SER_milan_zaric;x;
71070;Head of Military Intelligence;Svetko Kovac;2003;NA;Logistics Specialist;high;M_SER_svetko_kovac;x;
71071;Head of Government;Dragan Todorovic;2003;PA;Political Protege;high;M_SER_dragan_todorovic;x;
71072;Head of State;Vojislav Seselj;1099;FA;Barking Buffoon;high;M_SER_vojislav_seselj;x;*hague
71073;Minister of Armament;Veselin Sljivancanin;1099;PA;Tank Proponent;high;M_SER_veselin_sljivancanin;x;*hague
71073;Minister of Armament;Mile Mrksic;1099;PA;Corrupt Kleptocrat;high;M_SER_mile_mrksic;x;*hague
71074;Minister of Security;Milan Martic;1099;FA;Back Stabber;high;M_SER_milan_martic;x;*hague
71075;Minister of Armament;Ratko Mladic;1099;FA;Military Entrepreneur;high;M_SER_ratko_mladic;x;*fugitive
71076;Minister of Security;Goran Hadzic;1099;FA;Back Stabber;high;M_SER_goran_hadzic;x;*fugitive
71077;Chief of Staff;Veselin Sljivancanin;1099;FA;School of Fire Support;high;M_SER_veselin_sljivancanin;x;*hague
71078;Minister of Security;Momcilo Krajisnik;1099;FA;Prince of Terror;high;M_SER_momcilo_krajisnik;x;*hague
71079;Chief of Staff;Nebojsa Pavkovic;1099;FA;School of Mass Combat;high;M_SER_nebojsa_pavkovic;x;*hague
