PAK;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
62531;Foreign Minister;Qazi Hussain Ahmad;2003;FA;Ideological Crusader;High;M_PAK_qazi_hussain_ahmad;x
62532;Minister of Security;Khurshid Ahmad;2003;FA;Silent Lawyer;High;M_PAK_khurshid_ahmad;x
62533;Minister of Armament;Liaqat Baloch;2003;FA;Corrupt Kleptocrat;High;M_PAK_liaqat_baloch;x
62534;Head of State;Liaqat Baloch;2003;FA;Ruthless Powermonger;High;M_PAK_liaqat_baloch;x
62535;Head of Government;Liaqat Baloch;2003;FA;Naive Optimist;High;M_PAK_liaqat_baloch;x
62536;Chief of Army;Ashfaq Parvez Kayani;2007;PA;Armoured Spearhead Doctrine;High;M_PAK_ashfaq_parvez_kayani;x
62537;Head of Military Intelligence;Ashfaq Parvez Kayani;2003;PA;Political Specialist;High;M_PAK_ashfaq_parvez_kayani;x
62538;Chief of Staff;Ashfaq Parvez Kayani;2007;PA;School of Psychology;High;M_PAK_ashfaq_parvez_kayani;x
62539;Chief of Staff;Ehsan ul Haq;2003;PA;School of Fire Support;High;M_PAK_ehsan_ul_haq;x
62540;Chief of Army;Ehsan ul Haq;2003;PA;Elastic Defence Doctrine;High;M_PAK_ehsan_ul_haq;x
62541;Chief of Staff;Tariq Majid;2005;SC;School of Fire Support;High;M_PAK_tariq_majid;x
62542;Chief of Army;Tariq Majid;2005;SC;Armoured Spearhead Doctrine;High;M_PAK_tariq_majid;x
62543;Chief of Navy;Muhammad Afzal Tahir;2003;SC;Power Projection Doctrine;High;M_PAK_muhammad_afzal_tahir;x
62544;Chief of Staff;Muhammad Afzal Tahir;2005;SC;School of Psychology;High;M_PAK_muhammad_afzal_tahir;x
62545;Chief of Air Force;Tanvir Mahmood Ahmed;2003;SC;Air Superiority Doctrine;High;M_PAK_tanvir_mahmood_ahmed;x
62546;Chief of Army;Mohammad Yousaf;2003;PA;Armoured Spearhead Doctrine;High;M_PAK_mohammad_yousaf;x
62547;Chief of Staff;Mohammad Yousaf;2003;PA;School of Manoeuvre;High;M_PAK_mohammad_yousaf;x
62548;Chief of Army;Ahsan Saleem Hyat;2003;PA;Armoured Spearhead Doctrine;High;M_PAK_ahsan_saleem_hyat;x
62549;Chief of Staff;Ahsan Saleem Hyat;2003;PA;School of Manoeuvre;High;M_PAK_ahsan_saleem_hyat;x
62550;Chief of Army;Masood Aslam;2005;SC;Decisive Battle Doctrine;High;M_PAK_masood_aslam;x
62551;Chief of Staff;Masood Aslam;2007;SC;School of Psychology;High;M_PAK_masood_aslam;x
62552;Head of Military Intelligence;Nadeem Taj;2006;PA;Dismal Enigma;High;M_PAK_nadeem_taj;x
62553;Chief of Army;Nadeem Taj;2006;PA;Guns and Butter Doctrine;High;M_PAK_nadeem_taj;x
62554;Chief of Staff;Pervez Musharraf;2003;PA;School of Fire Support;High;M_PAK_pervez_musharraf;x
62555;Head of Military Intelligence;Tanvir Mahmood Ahmed;2003;FA;Political Specialist;High;M_PAK_tanvir_mahmood_ahmed;x
62556;Chief of Air Force;Rao Qamar Suleman;2006;SC;Army Aviation Doctrine;High;M_PAK_rao_qamar_suleman;x
62557;Chief of Navy;Noman Bashir;2007;SC;Power Projection Doctrine;High;M_PAK_noman_bashir;x
62558;Chief of Army;Muhammad Yusaf Khan;2003;PA;Armoured Spearhead Doctrine;High;M_PAK_muhammad_yusaf_khan;x
62559;Head of Military Intelligence;Athar Abbas;2005;SC;Logistics Specialist;High;M_PAK_athar_abbas;x
62560;Chief of Army;Waheed Arshad;2008;SC;Armoured Spearhead Doctrine;High;M_PAK_waheed_arshad;x
62561;Minister of Armament;Hamid Javed;2003;PA;Tank Proponent;High;Unknown;x
62562;Minister of Security;Hamid Nawaz Khan;2003;PA;Man of the People;High;Unknown;x
62563;Minister of Armament;Tariq Waseem Ghazi;2003;SC;Infantry Proponent;High;M_PAK_tariq_waseem_ghazi;x
62564;Minister of Armament;Kamran Rasool;2003;SC;Resource Industrialist;High;M_PAK_kamran_rasool;x
62565;Minister of Armament;Syed Athar Ali;2005;SC;Military Entrepreneur;High;Unknown;x
62566;Head of Military Intelligence;Ahmad Shuja Pasha;2005;SC;Logistics Specialist;High;M_PAK_ahmad_shuja_pasha;x
62567;Chief of Staff;Mohammad Mustafa Khan;2005;SC;School of Defence;High;M_PAK_mohammad_mustafa_khan;x
