AST;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
3519;Minister of Armament;Nick Minchin;2003;ML;Military Entrepreneur;High;M_AST_nick_minchin;x
3520;Minister of Armament;Lindsay Tanner;2005;ML;Resource Industrialist;High;M_AST_lindsay_tanner;x
3521;Head of Military Intelligence;David Irvine;2003;NA;Political Specialist;High;M_AST_david_irvine;x
3522;Chief of Navy;Russ Shalders;2003;NA;Decisive Naval Battle Doctrine;High;M_AST_russ_shalders;x
3523;Chief of Air Force;Geoff Shepherd;2004;NA;Air Superiority Doctrine;High;M_AST_geoff_shepherd;x
3524;Chief of Staff;Allan Grant Houston;2004;NA;School of Mass Combat;High;M_AST_allan_grant_houston;x
3525;Chief of Army;Ken Gillespie;2007;NA;Guns and Butter Doctrine;High;M_AST_ken_gillespie;x
3526;Head of Military Intelligence;Paul O'Sullivan;2003;NA;Political Specialist;High;M_AST_paul_o'sullivan;x
3527;Head of Military Intelligence;Peter Varghese;2003;NA;Dismal Enigma;High;Unknown;x
3528;Head of Military Intelligence;Dennis Richardson;2003;NA;Dismal Enigma;High;M_AST_dennis_richardson;x
3529;Head of Military Intelligence;Maurice McNarn;2003;NA;Logistics Specialist;High;M_AST_maurice_mcnarn;x
3530;Chief of Staff;Ken Gillespie;2009;NA;School of Manoeuvre;High;M_AST_ken_gillespie;x
3531;Chief of Staff;Russ Shalders;2007;NA;School of Psychology;High;M_AST_russ_shalders;x
3532;Chief of Staff;David Hurley;2010;NA;School of Fire Support;High;M_AST_david_hurley;x
3533;Chief of Navy;Russel Crane;2007;NA;Power Projection Doctrine;High;M_AST_russel_crane;x
3534;Chief of Air Force;Mark Binskin;2007;NA;Naval Aviation Doctrine;High;M_AST_mark_binskin;x
3535;Chief of Army;David Hurley;2003;NA;Decisive Battle Doctrine;High;M_AST_david_hurley;x
3536;Chief of Navy;Matt Tripovich;2009;NA;Power Projection Doctrine;High;M_AST_matt_tripovich;x
3537;Chief of Army;Mick Slater;2010;NA;Armoured Spearhead Doctrine;High;M_AST_mick_slater;x
3538;Chief of Staff;Mick Slater;2012;NA;School of Fire Support;High;M_AST_mick_slater;x
3539;Chief of Army;Grant Cavenagh;2010;NA;Guns and Butter Doctrine;High;M_AST_grant_cavenagh;x
3540;Chief of Staff;Grant Cavenagh;2012;NA;School of Psychology;High;M_AST_grant_cavenagh;x
3541;Head of Military Intelligence;Greg Farr;2003;NA;Technical Specialist;High;M_AST_greg_farr;x
3542;Minister of Armament;Roger Lough;2003;ML;Theoretical Scientist;High;M_AST_roger_lough;x
3543;Chief of Navy;Allan du Toit;2010;NA;Power Projection Doctrine;High;M_AST_allan_du_toit;x
3544;Chief of Army;Dave Chalmers;2012;NA;Armoured Spearhead Doctrine;High;M_AST_dave_chalmers;x
3545;Chief of Staff;Dave Chalmers;2014;NA;School of Manoeuvre;High;M_AST_dave_chalmers;x
3546;Chief of Navy;Nigel Stephen Coates;2010;NA;Indirect Approach Doctrine;High;M_AST_nigel_stephen_coates;x
3547;Chief of Staff;Nigel Stephen Coates;2012;NA;School of Fire Support;High;M_AST_nigel_stephen_coates;x
3548;Chief of Army;David Morrison;2010;NA;Guns and Butter Doctrine;High;M_AST_david_morrison;x
3549;Chief of Staff;David Morrison;2012;NA;School of Psychology;High;M_AST_david_morrison;x
3550;Chief of Army;Mark Kelly;2010;NA;Decisive Battle Doctrine;High;M_AST_mark_kelly;x
3551;Chief of Army;Michael Hindmarsh;2010;NA;Decisive Battle Doctrine;High;M_AST_michael_hindmarsh;x
3552;Chief of Staff;Andrew Molan;2005;NA;School of Fire Support;High;M_AST_andrew_molan;x
3553;Chief of Army;Andrew Molan;2003;NA;Decisive Battle Doctrine;High;M_AST_andrew_molan;x
3554;Chief of Air Force;John Blackburn;2005;NA;Air Superiority Doctrine;High;M_AST_john_blackburn;x
3555;Minister of Armament;Simon Crean;2003;SD;Laissez Faires Capitalist;High;M_AST_simon_crean;x
3556;Foreign Minister;Kim Beazley;2003;SD;Biased Intellectual;High;M_AST_kim_beazley;x
3557;Head of Government;Brendan Nelson;2007;SD;Naive Optimist;High;M_AST_brendan_nelson;x
3558;Minister of Armament;Warren Snowdon;2007;SL;Administrative Genius;High;M_AST_warren_snowdon;x
3559;Foreign Minister;Bob McMullan;2003;SL;Ideological Crusader;High;M_AST_bob_mcmullan;x
3560;Minister of Armament;Greg Combet;2003;SD;Resource Industrialist;High;M_AST_greg_combet;x
3561;Minister of Armament;Mike Kelly;2007;SL;Military Entrepreneur;High;M_AST_mike_kelly;x
3562;Foreign Minister;Mike Kelly;2010;SL;General Staffer;High;M_AST_mike_kelly;x
3563;Foreign Minister;Bruce Billson;2006;ML;Great Compromiser;High;M_AST_bruce_billson;x
3564;Minister of Security;David Johnston;2003;ML;Silent Lawyer;High;M_AST_david_johnston;x
3565;Minister of Security;Chris Ellison;2003;ML;Crime Fighter;High;M_AST_chris_ellison;x
3566;Head of Government;John Anderson;2003;SC;Silent Workhorse;High;M_AST_john_anderson;x
3567;Head of Government;Mark Vaile;2005;SC;Naive Optimist;High;M_AST_mark_vaille;x
3568;Head of Government;Warren Truss;2005;SC;Flamboyant Tough Guy;High;M_AST_warren_truss;x
3569;Foreign Minister;Larry Anthony;2003;SC;Apologetic Clerk;High;M_AST_larry_anthony;x
3570;Minister of Armament;Bill Baxter;2003;SC;Administrative Genius;High;M_AST_bill_baxter;x
3571;Minister of Security;John Cobb;2003;SC;Man of the People;High;M_AST_john_cobb;x
3572;Head of State;Queen Elizabeth II;2003;SL;Popular Figurehead;High;M_AST_elizabeth_ii;x
3573;Minister of Armament;Bob Baldwin;2003;ML;Battle Fleet Proponent;High;M_AST_bob_baldwin;x
3574;Foreign Minister;Cory Bernardi;2009;SC;Biased Intellectual;High;M_AST_cory_bernardi;x
3575;Head of Government;Julie Bishop;2013;ML;Silent Workhorse;High;M_AST_julie_bishop;x
3576;Minister of Security;George Brandis;2007;ML;Man of the People;High;M_AST_george_brandis;x
3577;Minister of Security;Russel Broadbent;2005;ML;Compassionate Gentleman;High;M_AST_russel_broadbent;x
3578;Minister of Security;David Bushby;2007;ML;Silent Lawyer;High;M_AST_david_busyby;x
3579;Head of Government;Michael Caltalbiano;2013;ML;Flamboyant Tough Guy;High;M_AST_michael_caltalbiano;x
3580;Minister of Armament;Grant Chapman;2003;ML;Resource Industrialist;High;M_AST_grant_chapman;x
3581;Minister of Armament;Steven Chiobo;2012;ML;Laissez Faires Capitalist;High;M_AST_steven_chiobo;x
3582;Minister of Security;Andrea Coote;2005;ML;Man of the People;High;M_AST_andrea_coote;x
3583;Minister of Armament;Peter Debnam;2004;ML;Battle Fleet Proponent;High;M_AST_peter_debnam;x
3584;Minister of Armament;David Fawcett;2008;ML;Air Superiority Proponent;High;M_AST_david_fawcett;x
3585;Foreign Minister;Robert Hill;2003;ML;Apologetic Clerk;High;M_AST_robert_hill;x
3586;Foreign Minister;Michael Johnson;2010;ML;Great Compromiser;High;M_AST_michael_johnson;x
3587;Foreign Minister;Rob Lucas;2008;ML;Ideological Crusader;High;M_AST_rob_lucas;x
3588;Foreign Minister;Amanda Vanstone;2007;ML;Iron Fisted Brute;High;M_AST_amanda_vanstone;x
3589;Foreign Minister;Mike Rann;2007;SD;Biased Intellectual;High;M_AST_mike_rann;x
3590;Foreign Minister;Tim Gartrell;2008;SD;Apologetic Clerk;High;M_AST_tim_gartrell;x
3591;Minister of Security;John Stanhope;2006;SD;Silent Lawyer;High;M_AST_john_stanhope;x
3592;Minister of Security;John Brumby;2003;SD;Man of the People;High;M_AST_john_brumby;x
3593;Foreign Minister;John Brumby;2003;SD;Great Compromiser;High;M_AST_john_brumby;x
