U06;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
392060;Chief of Army;Jean-Pierre Kelche;1003;SD;Armoured Spearhead Doctrine;High;M28508;x
392061;Chief of Navy;Jean-Louis Battet;1003;SD;Open Seas Doctrine;High;M28509;x
392062;Chief of Air Force;Richard Wolsztynski;1003;SD;Air Superiority Doctrine;High;M28510;x
392063;Head of State;Horst Köhler;1003;ML;Benevolent Gentleman;High;M31011;x 
392064;Head of State;Udo Voigt;1003;FA;Powerhungry Demagogue;High;M31012;x 
392065;Head of State;Gregor Gysi;1003;LWR;Die-hard Reformer;High;M31013;x 
392066;Head of Government;Angela Merkel;1003;ML;Naive Optimist;High;M31014;x 
392067;Head of Government;Holger Apfel;1003;FA;Flamboyant Tough Guy;High;M31015;x 
392068;Head of Government;Lothar Bisky;1003;LWR;Naive Optimist;High;M31016;x 
392069;Head of Government;Guido Westerwelle;1003;ML;Silent Workhorse;High;M31017;x 
392070;Head of Government;Joschka Fischer;1003;SD;Ambitious Union Boss;High;M31003;x 
392071;Foreign Minister;Peter Marx;1003;FA;Iron Fisted Brute;High;M31188;x 
392072;Foreign Minister;Wolfgang Gehrcke;1003;LWR;Ideological Crusader;High;M31020;x 
392073;Foreign Minister;Guido Westerwelle;1003;ML;Apologetic Clerk;High;M31017;x 
392074;Minister of Armament;Heidemarie Wieczorek-Zeul;1003;SD;Administrative Genius;High;M31022;x 
392075;Minister of Armament;Hans Eichel;1003;SD;Resource Industrialist;High;M31023;x 
392076;Minister of Armament;Sascha Roßmüller;1003;FA;Tank Proponent;High;M31024;x 
392077;Minister of Armament;Rolf Kutzmutz;1003;LWR;Administrative Genius;High;M31025;x 
392078;Minister of Armament;Renate Künast;1003;SD;Military Entrepreneur;High;M31026;x 
392079;Minister of Security;Brigitte Zypries;1003;SL;Silent Lawyer;High;M31027;x 
392080;Minister of Security;Ulrich Eigenfeld;1003;FA;Prince of Terror;High;M31028;x 
392081;Minister of Security;Harald Werner;1003;LWR;Man of the People;High;M31029;x 
392082;Head of Military Intelligence;Harald Werner;1003;LWR;Industrial Specialist;High;M31029;x 
392083;Head of Military Intelligence;Ulrich Eigenfeld;1003;FA;Political Specialist;High;M31028;x 
392084;Head of Military Intelligence;Otto Schilly;1003;SL;Dismal Enigma;High;M31005;x 
392085;Head of State;Gesine Schwan;1003;SD;Benevolent Gentleman;High;M31033;x
392086;Head of State;Franz Müntefering;1003;SD;Stern Imperialist;High;M31034;x
392087;Head of State;Wolfgang Thierse;1003;SD;Autocratic Charmer;High;M31035;x
392088;Head of Government;Franz Müntefering;1003;SD;Silent Workhorse;High;M31034;x
392089;Head of Government;Peter Struck;1003;SD;Backroom Backstabber;High;M31037;x
392090;Head of Government;Matthias Platzeck;1003;SD;Ambitious Union Boss;High;M31038;x
392091;Head of Government;Kurt Beck;1003;SD;Naive Optimist;High;M31039;x
392092;Foreign Minister;Frank W. Steinmeier;1003;SD;Great Compromiser;High;M31040;x
392093;Foreign Minister;Martin Schulz;1003;SD;The Cloak N Dagger Schemer;High;M31041;x
392094;Foreign Minister;Matthias Platzeck;1003;SD;Biased Intellectual;High;M31038;x
392095;Minister of Armament;Peter Sruck;1003;SD;Administrative Genius;High;M31037;x
392096;Minister of Armament;Johannes Kahrs;1003;SD;Resource Industrialist;High;M31044;x
392097;Minister of Armament;Jörn Thießen;1003;SD;Military Entrepreneur;High;M31045;x
392098;Minister of Security;Sigmar Gabriel;1003;SD;Crime Fighter;High;M31046;x
392099;Minister of Security;Hermann Scherr;1003;SD;Back Stabber;High;M31047;x
392100;Minister of Security;Kurt Beck;1003;SD;Silent Lawyer;High;M31039;x
392101;Head of Military Intelligence;Ernst Uhrlau;1003;SD;Dismal Enigma;High;M31049;x
392102;Head of Military Intelligence;Frank W. Steinmeier;1003;SD;Political Specialist;High;M31040;x
392103;Head of Military Intelligence;Garriel Duin;1003;SD;Technical Specialist;High;M31051;x
392112;Head of State;Wolfgang Schäuble;1003;SC;Benevolent Gentleman;High;M31060;x
392113;Head of State;Roland Koch;1003;SC;Ruthless Powermonger;High;M31061;x
392114;Head of State;Norbert Lammer;1003;SC;Barking Buffoon;High;M31062;x
392115;Head of Government;Edmund Stoiber;1003;SC;Naive Optimist;High;M31063;x
392116;Head of Government;Christian Wulff;1003;SC;Political Protege;High;M31064;x
392117;Head of Government;Günther Oettinger;1003;SC;Corporate Suit;High;M31065;x
392118;Foreign Minister;Lothar dé Maziere;1003;SC;Biased Intellectual;High;M31066;x
392119;Foreign Minister;Philipp  Mißfelder;1003;SC;Ideological Crusader;High;M31067;x
392120;Foreign Minister;Werner Langen;1003;SC;The Cloak N Dagger Schemer;High;M31068;x
392121;Minister of Armament;Franz Josef Jung;1003;SC;Laissez Faires Capitalist;High;M31069;x
392122;Minister of Armament;Jürgen Rüttgers;1003;SC;Military Entrepreneur;High;M31074;x
392123;Minister of Armament;Lothar dé Maziere;1003;SC;Resource Industrialist;High;M31066;x
392124;Minister of Security;Wolfgang Schäuble;1003;SC;Prince of Terror;High;M31060;x
392125;Minister of Security;Ulrich Junghanns;1003;SC;Man of the People;High;M31073;x
392126;Minister of Security;Jürgen Rüttgers;1003;SC;Crime Fighter;High;M31074;x
392127;Head of Military Intelligence;Eckert von Klaeden;1003;SC;Industrial Specialist;High;M31075;x
392128;Head of Military Intelligence;Wolfgang Schäuble;1003;SC;Political Specialist;High;M31060;x
392137;Head of State;Winfried Kretschmann;1003;SL;Pig-headed Isolationist;High;M31085;x
392138;Head of State;Joschka Fischer;1003;SL;Popular Figurehead;High;M31003;x
392139;Head of Government;Joschka Fischer;1003;SL;Flamboyant Tough Guy;High;M31003;x
392140;Head of Government;Claudia Roth;1003;SL;Happy Amateur;High;M31088;x
392141;Head of Government;Jürgen Trittin;1003;SL;Backroom Backstabber;High;M31089;x
392142;Minister of Armament;Jürgen Trittin;1003;SL;Laissez Faires Capitalist;High;M31089;x
392143;Minister of Armament;Fritz Kühn;1003;SL;Resource Industrialist;High;M31091;x
392144;Minister of Armament;Dietmar Strehl;1003;SL;Tank Proponent;High;M31092;x
392145;Foreign Minister;Reinard Büttikofer;1003;SL;Biased Intellectual;High;M31093;x
392146;Foreign Minister;Steffi Lemke;1003;SL;Great Compromiser;High;M31094;x
392147;Foreign Minister;Claudia Roth;1003;SL;Apologetic Clerk;High;M31088;x
392148;Minister of Security;Tarek al-Wazir;1003;SL;Compassionate Gentleman;High;M31096;x
392149;Minister of Security;Fritz Kühn;1003;SL;Crime Fighter;High;M31091;x
392150;Minister of Security;Malte Spitz;1003;SL;Man of the People;High;M31098;x
392151;Head of Military Intelligence;Bärbel Höhn;1003;SL;Political Specialist;High;M31099;x
392152;Head of Military Intelligence;Astrid Rothe-Beinlich;1003;SL;Industrial Specialist;High;M31100;x
392153;Head of Military Intelligence;David Cohn-Bendit;1003;SL;Technical Specialist;High;M31101;x
392162;Head of State;Otto Graf Lambsdorf;1003;ML;Autocratic Charmer;High;M31110;x
392163;Head of State;Paul Kirchoff;1003;ML;Die-hard Reformer;High;M31111;x
392164;Head of Government;Wolfgang Gerhardt;1003;ML;Silent Workhorse;High;M31112;x
392165;Head of Government;Silvana Koch-Mehrin;1003;ML;Corporate Suit;High;M31113;x
392166;Head of Government;Dirk Niebel;1003;ML;Political Protege;High;M31114;x
392167;Minister of Armament;Jörg van Essen;1003;ML;Tank Proponent;High;M31115;x
392168;Minister of Armament;Hermann Otto Solms;1003;ML;Air Superiority Proponent;High;M31116;x
392169;Minister of Armament;Andreas Pinkwart;1003;ML;Laissez Faires Capitalist;High;M31126;x
392170;Foreign Minister;Wolfgang Gerhardt;1003;ML;Biased Intellectual;High;M31112;x
392171;Foreign Minister;Dirk Niebel;1003;ML;Apologetic Clerk;High;M31114;x
392172;Foreign Minister;Silvana Koch-Mehrin;1003;ML;Great Compromiser;High;M31113;x
392173;Minister of Security;Silvana Koch-Mehrin;1003;ML;Compassionate Gentleman;High;M31113;x
392174;Minister of Security;Rainer Brüderle;1003;ML;Efficient Sociopath;High;M31122;x
392175;Minister of Security;Magnus Buhlert;1003;ML;Man of the People;High;M31123;x
392176;Head of Military Intelligence;Hans-Jürgen Beerfeltz;1003;ML;Technical Specialist;High;M31124;x
392177;Head of Military Intelligence;Alexander Graf Lambsdorf;1003;ML;Political Specialist;High;M31125;x
392178;Head of Military Intelligence;Andreas Pinkwart;1003;ML;Dismal Enigma;High;M31126;x
392179;Chief of Staff;Jörg van Essen;1003;ML;School of Fire Support;High;M31115;x
392183;Chief of Army;Jörg van Essen;1003;ML;Armoured Spearhead Doctrine;High;M31115;x
392188;Head of State;Jörg Schönbohm;1003;PA;Stern Imperialist;High;M31136;x
392199;Minister of Security;Ulrich Wegener;1003;PA;Crime Fighter;High;M31147;x
392205;Chief of Staff;Reinhard Günzel;1003;PA;School of Psychology;High;M31153;x
392211;Chief of Air Force;Reinhard Günzel;1003;PA;Vertical Envelopment Doctrine;High;M31153;x
392212;Head of State;Gerhard Frey;1003;FA;Ruthless Powermonger;High;M31160;x
392213;Head of State;Dieter Hübing;1003;FA;Powerhungry Demagogue;High;M31161;x
392214;Head of Government;Rolf Schlierer;1003;FA;Naive Optimist;High;M31162;x
392215;Head of Government;Ulrich Deuschle;1003;FA;Silent Workhorse;High;M31163;x
392216;Head of Government;Johann Gärtner;1003;FA;Backroom Backstabber;High;M31164;x
392217;Minister of Armament;Kurt Hoppe;1003;FA;Military Entrepreneur;High;M31165;x
392218;Minister of Armament;Haymo Hoch;1003;FA;Battle Fleet Proponent;High;M31166;x
392219;Minister of Armament;Rolf Goertz;1003;FA;Resource Industrialist;High;M31167;x
392220;Foreign Minister;Gert Hoffmann;1003;FA;Ideological Crusader;High;M31168;x
392221;Foreign Minister;Hans-Gerd Wiechmann;1003;FA;Iron-fisted Brute;High;M31169;x
392222;Foreign Minister;Siegfried Tittmann;1003;FA;General Staffer;High;M31170;x
392223;Minister of Security;Johann Gärtner;1003;FA;Silent Lawyer;High;M31164;x
392224;Minister of Security;Ursula Winkelsett;1003;FA;Prince of Terror;High;M31172;x
392225;Minister of Security;Liane Hesselbarth;1003;FA;Efficient Sociopath;High;M31173;x
392226;Head of Military Intelligence;Dirk Hacaj;1003;FA;Dismal Enigma;High;M31174;x
392227;Head of Military Intelligence;Ursula Winkelsett;1003;FA;Naval Intelligence Specialist;High;M31172;x
392228;Head of Military Intelligence;Ulrich Deuschle;1003;FA;Logistics Specialist;High;M31163;x
392229;Chief of Staff;Kurt Hoppe;1003;FA;School of Fire Support;High;M31165;x
392230;Chief of Staff;Haymo Hoch;1003;FA;School of Psychology;High;M31166;x
392231;Chief of Navy;Haymo Hoch;1003;FA;Power Projection Doctrine;High;M31166;x
392232;Chief of Navy;Liane Hesselbarth;1003;FA;Base Control Doctrine;High;M31173;x
392233;Chief of Army;Kurt Hoppe;1003;FA;Armoured Spearhead Doctrine;High;M31165;x
392234;Chief of Army;Rolf Goertz;1003;FA;Guns and Butter Doctrine;High;M31167;x
392235;Chief of Air Force;Rolf Goertz;1003;FA;Army Aviation Doctrine;High;M31167;x
392236;Chief of Air Force;Johann Gärtner;1003;FA;Vertical Envelopement Doctrine;High;M31164;x
392237;Head of State;Rolf Kosiek;1003;NS;Stern Imperialist;High;M31185;x
392238;Head of State;Friedhelm Busse;1003;NS;Autocratic Charmer;High;M31186;x
392239;Head of Government;Udo Voigt;1003;NS;Happy Amateur;High;M31187;x
392240;Head of Government;Peter Marx;1003;NS;Political Protege;High;M31188;x
392241;Head of Government;Horst Mahler;1003;NS;Naive Optimist;High;M31189;x
392242;Minister of Armament;Peter Marx;1003;NS;Military Entrepreneur;High;M31188;x
392243;Minister of Armament;Horst Mahler;1003;NS;Air to Ground Proponent;High;M31189;x
392244;Minister of Armament;Stefan Köster;1003;NS;Corrupt Kleptocrat;High;M31192;x
392245;Foreign Minister;Horst Mahler;1003;NS;Ideological Crusader;High;M31189;x
392246;Foreign Minister;Peter Marx;1003;NS;Iron-fisted Brute;High;M31188;x
392247;Foreign Minister;Michael Burkert;1003;NS;The Cloak N Dagger Schemer;High;M31195;x
392248;Minister of Security;Manfred Börm;1003;NS;Prince of Terror;High;M31196;x
392249;Minister of Security;Norman Bodin;1003;NS;Crooked Kleptocrat;High;M31197;x
392250;Minister of Security;Udo Voigt;1003;NS;Silent Lawyer;High;M31187;x
392251;Head of Military Intelligence;Stephan Haase;1003;NS;Technical Specialist;High;M31199;x
392252;Head of Military Intelligence;Uwe Leichsenring;1003;NS;Logistics Specialist;High;M31200;x
392253;Head of Military Intelligence;Peter Marx;1003;NS;Political Specialist;High;M31188;x
392254;Chief of Staff;Eckart Bräuniger;1003;NS;School of Fire Support;High;M13202;x
392255;Chief of Staff;Otto Ritz;1003;NS;School of Manoeuvre;High;M31203;x
392256;Chief of Navy;Erwin Kemna;1003;NS;Open Seas Doctrine;High;M31205;x
392257;Chief of Navy;Sascha Roßmüller;1003;NS;Base Control Doctrine;High;M31024;x
392258;Chief of Army;Uwe Leichsenring;1003;NS;Static Defence Doctrine;High;M31200;x
392259;Chief of Army;Jürgen Rieger;1003;NS;Guns and Butter Doctrine;High;M31207;x
392260;Chief of Air Force;Stefan Köster;1003;NS;Army Aviation Doctrine;High;M31192;x
392261;Chief of Air Force;Lars Käppler;1003;NS;Air Superiority Doctrine;High;M31209;x
392262;Head of State;Lothar Bisky;1003;LWR;Benevolent Gentleman;High;M31016;x
392263;Head of State;Oscar Lafontaine;1003;LWR;Popular Figurehead;High;M31211;x
392264;Head of Government;Oscar Lafontaine;1003;LWR;Happy Amateur;High;M31211;x
392265;Head of Government;Gregor Gysi;1003;LWR;Naive Optimist;High;M31013;x
392266;Head of Government;Katja Kipping;1003;LWR;Political Protege;High;M31214;x
392267;Minister of Armament;Oscar Lafontaine;1003;LWR;Resource Industrialist;High;M31211;x
392268;Minister of Armament;Wolfgang Methling;1003;LWR;Corrupt Kleptocrat;High;M31216;x
392269;Minister of Armament;Karl Holluba;1003;LWR;Military Entrepreneur;High;M31217;x
392270;Foreign Minister;Wolfgang Gehrcke;1003;LWR;Ideological Crusader;High;M31218;x
392271;Foreign Minister;Petra Pau;1003;LWR;Biased Intellectual;High;M31219;x
392272;Foreign Minister;Katina Schubert;1003;LWR;The Cloak N Dagger Schemer;High;M31220;x
392273;Minister of Security;Helmut Scholz;1003;LWR;Silent Lawyer;High;M31221;x
392274;Minister of Security;Katja Kipping;1003;LWR;Man of the People;High;M31214;x
392275;Minister of Security;Hans Modrow;1003;LWR;Crime Fighter;High;M31223;x
392276;Head of Military Intelligence;Hans Modrow;1003;LWR;Political Specialist;High;M31223;x
392277;Head of Military Intelligence;Dietmar Bartsch;1003;LWR;Dismal Enigma;High;M31225;x
392278;Head of Military Intelligence;Sahra Wagenknecht;1003;LWR;Industrial Specialist;High;M31126;x
392279;Chief of Staff;Wolfgang Methling;1003;LWR;School of Fire Support;High;M31216;x
392280;Chief of Staff;Helmut Scholz;1003;LWR;School of Manoeuvre;High;M31221;x
392281;Chief of Navy;Sahra Wagenknecht;1003;LWR;Decisive Naval Battle Doctrine;High;M31126;x
392282;Chief of Navy;Karl Holluba;1003;LWR;Power Projection Doctrine;High;M31217;x
392283;Chief of Army;Wolfgang Gehrcke;1003;LWR;Static Defense Doctrine;High;M31218;x
392284;Chief of Army;Helmut Scholz;1003;LWR;Elastic Defense Doctrine;High;M31221;x
392285;Chief of Air Force;Wolfgang Methling;1003;LWR;Naval Aviation Doctrine;High;M31216;x
392286;Chief of Air Force;Dietmar Bartsch;1003;LWR;Army Aviation Doctrine;High;M31225;x
392287;Head of State;Stefan Engel;1003;LE;Die-hard Reformer;High;M31235;x
392288;Head of State;Klaus Wallenstein;1003;LE;Popular Figurehead;High;M31236;x
392289;Head of Government;Stefan Engel;1003;LE;Naive Optimist;High;M31235;x
3922190;Head of Government;Dieter Ilius;1003;LE;Backroom Backstabber;High;M31238;x
392291;Head of Government;Günther Jacob;1003;LE;Corporate Suit;High;M31239;x
392292;Minister of Armament;Berthold Huber;1003;LE;Infantry Proponent;High;M31240;x
392293;Minister of Armament;Robert Kurz;1003;LE;Submarine Proponent;High;M31241;x
392294;Minister of Armament;Anna Bartholomé;1003;LE;Theoretical Scientist;High;M31242;x
392295;Foreign Minister;Peter Borgwardt;1003;LE;Ideological Crusader;High;M31243;x
392296;Foreign Minister;Günther Jacob;1003;LE;Apologetic Clerk;High;M31239;x
392297;Foreign Minister;Roland Meister;1003;LE;Iron-fisted Brute;High;M31245;x
392298;Minister of Security;Winfried Wolf;1003;LE;Crime Fighter;High;M31246;x
392299;Minister of Security;Monika Gärtner-Engel;1003;LE;Back Stabber;High;M31247;x
392300;Minister of Security;Jörg Weidemann;1003;LE;Man of the People;High;M31248;x
392301;Head of Military Intelligence;Wolfgang Göller;1003;LE;Technical Specialist;High;M31249;x
392302;Head of Military Intelligence;Günter Slave;1003;LE;Naval Intelligence Specialist;High;M31250;x
392303;Head of Military Intelligence;Klaus Arnecke;1003;LE;Dismal Enigma;High;M31251;x
392304;Chief of Staff;Klaus Arnecke;1003;LE;School of Psychology;High;M31251;x
392305;Chief of Staff;Günter Slave;1003;LE;School of Mass Combat;High;M31250;x
392306;Chief of Navy;Jörg Weideman;1003;LE;Base Control Doctrine;High;M31248;x
392307;Chief of Navy;Günter Slave;1003;LE;Indirect Approach Doctrine;High;M31250;x
392308;Chief of Army;Klaus Arnecke;1003;LE;Guns and Butter Doctrine;High;M31251;x
392309;Chief of Army;Roland Meister;1003;LE;Armoured Spearhead Doctrine;High;M31245;x
392310;Chief of Air Force;Peter Borgwardt;1003;LE;Air Superiority Doctrine;High;M31243;x
392311;Chief of Air Force;Robert Kurz;1003;LE;Carpet Bombing Doctrine;High;M31241;x
392312;Head of State;Johannes Rau;1003;SD;Insignificant Layman;High;M31001;x 
392313;Head of Government;Gerhard Schröder;1003;SL;Ambitious Union Boss;High;M31002;x 
392314;Foreign Minister;Joschka Fischer;1003;SD;Great Compromiser;High;M31003;x 
392315;Minister of Armament;Wolfgang Clement;1003;SL;Laissez Faires Capitalist;High;M31004;x 
392316;Minister of Security;Otto Schilly;1003;SL;Crime Fighter;High;M31005;x 
392317;Head of Military Intelligence;August Hanning;1003;SL;Technical Specialist;High;M31006;x 
392318;Chief of Staff;Wolfgang Schneiderhan;1003;SL;School of Defence;High;M31007;x 
392319;Chief of Army;Hans-Otto Budde;1003;SD;Armoured Spearhead Doctrine;High;M31008;x 
392320;Chief of Navy;Lutz Feldt;1003;SD;Open Seas Doctrine;High;M31009;x 
392321;Chief of Air Force;Klaus Peter Stieglitz;1003;ML;Air Superiority Doctrine;High;M31010;x 
392322;Head of State;Kostis Stephanopoulos;1003;ML;Benevolent Gentleman;High;M32001;x
392323;Head of Government;Costas Simitis;1003;SL;Silent Workhorse;High;M32002;x
392324;Foreign Minister;Giorgios Papandreou;1003;SD;Great Compromiser;High;M32003;x
392325;Minister of Armament;Nikos Christodoulakis;1003;SL;Laissez faire Capitalist;High;M32004;x
392326;Minister of Security;Michalis Chrysohoidis;1003;SL;Crime Fighter;High;Unknown;x
392327;Head of Military Intelligence;Haralambos Stavrakakis;1003;ML;Dismal Enigma;High;Unknown;x
392328;Chief of Staff;Panagiotis Chinofotis;1003;SL;School of Fire Support;High;M32007;x
392329;Chief of Army;Nikolaos Douvas;1003;SL;Decisive Battle Doctrine;High;Unknown;x
392330;Chief of Navy;Dimitrios Gousis;1003;SL;Open Seas Doctrine;High;M32009;x
392331;Chief of Air Force;Panagiotis Papanikolaou;1003;SL;Air Superiority Doctrine;High;Unknown;x
392332;Head of State;Karolos Papoulias;1005;SD;Insignificant Layman;High;M32011;x
392333;Head of Government;Costas Caramanlis;1004;ML;Corporate Suit;High;M32012;x
392334;Foreign Minister;Petros Molyviatis;1004;ML;Great Compromiser;High;M32013;x
392335;Minister of Armament;Giorgios Alogoskoufis;1004;ML;Administrative Genius;High;Unknown;x
392336;Minister of Security;Giorgios Voulgarakis;1004;ML;Crime Fighter;High;Unknown;x
392337;Head of Military Intelligence;Pavlos Apostolidis;1005;ML;Political Specialist;High;Unknown;x
392338;Chief of Air Force;Giorgos Avlonitis;1004;ML;Air Superiority Doctrine;High;Unknown;x
392339;Head of Government;Jan Peter Balkenende;1003;SC;Silent Workhorse;High;M11601;x
392340;Foreign Minister;Ben Bot;1003;SC;General Staffer;High;M11602;x
392341;Minister of Armament;Henk Kamp;1003;SC;Military Entrepreneur;High;M11606;x
392342;Minister of Security;Piet Hein Donner;1003;SC;Man of the People;High;M11604;x
392343;Head of Military Intelligence;B.Dedden;1003;SC;Technical Specialist;High;Unknown;x
392344;Chief of Staff;Henk Kamp;1003;SC;School of Defence;High;M11606;x
392345;Chief of Army;Marcel Urlings;1003;SC;Guns and Butter Doctrine;High;M11607;x
392346;Chief of Navy;R.Klaver;1003;SC;Indirect Approach Doctrine;High;M11608;x
392347;Chief of Air Force;D.L.Berlijn;1003;SC;Naval Aviation Doctrine;High;M11609;x
392348;Head of State;Carlo Azeglio Ciampi;1003;SC;Insignificant Layman;Very High;M7700;x
392349;Head of Government;Silvio Berlusconi;1003;ML;Flamboyant Tough Guy;High;M7701;x
392350;Foreign Minister;Gianfranco Fini;1003;ML;General Staffer;High;M7702;x
392351;Minister of Armament;Claudio Scajola;1003;ML;Military Entrepreneur;High;M7703;x
392352;Minister of Security;Giuseppe Pisanu;1003;ML;Man of the People;High;M7704;x
392353;Head of Military Intelligence;Altero Matteoli;1003;SC;Industrial Specialist;High;M7705;x
392354;Chief of Staff;Domenico Siniscalco;1003;SC;School of Fire Support;High;M7706;x
392355;Chief of Army;Antonio Martino;1003;SD;Guns and Butter Doctrine;High;M7707;x
392356;Chief of Navy;Filippo Berselli;1003;SD;Indirect Approach Doctrine;High;M7708;x
392357;Chief of Air Force;Salvatore Cicu;1003;ML;Naval Aviation Doctrine;High;M7709;x
392371;Foreign Minister;Lydie Polfer;1003;SC;Great Compromiser;High;M49003;x
392372;Minister of Armament;Jean-Claude Juncker;1003;SC;Administrative Genius;High;M49002;x
392373;Minister of Security;Luc Frieden;1003;SC;Silent Lawyer;High;M49005;x
392374;Head of Military Intelligence;Jean-Claude Juncker;1003;SC;Political Specialist;High;M49002;x
392375;Chief of Staff;Nico Ries;1003;SC;School of Defence;High;M49007;x
392376;Chief of Army;Nico Ries;1003;SC;Guns and Butter Doctrine;High;M49007;x
